companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
CMI Media Group Parsippany,Agency,Contact,Managing Director,https://www.cmimediagroup.com,ENTERTAINMENT_MEDIA,ENTERPRISE_1001_5000,Parsippany NJ
AbbVie,Main,Contact,Media Director,https://www.abbvie.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,North Chicago IL
AstraZeneca,Main,Contact,Media Director,https://www.astrazeneca.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Cambridge
AthenaHealth,Main,Contact,Media Director,https://www.athenahealth.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Watertown MA
Bristol Myers Squibb,Main,Contact,Media Director,https://www.bms.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,New York NY
Ferring Pharmaceuticals,Main,Contact,Media Director,https://www.ferring.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Saint-Prex
Johnson & Johnson,Main,Contact,Media Director,https://www.jnj.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,New Brunswick NJ
Moderna Inc.,Main,Contact,Media Director,https://www.modernatx.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Cambridge MA
Regeneron Pharmaceuticals,Main,Contact,Media Director,https://www.regeneron.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Tarrytown NY
Seagen,Main,Contact,Media Director,https://www.seagen.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,Bothell WA
UCB,Main,Contact,Media Director,https://www.ucb.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Brussels
