companyName,companyType,industry,website,city,state,country,parentCompanyName
Dentsu,MEDIA_HOLDING_COMPANY,Advertising & Marketing,https://www.dentsu.com,Tokyo,,Japan,
Carat,AGENCY,Media Planning & Buying,https://www.carat.com,New York,NY,US,Dentsu
Carat Amsterdam,AGENCY,Media Planning & Buying,https://www.carat.com,Amsterdam,,Netherlands,Carat
Carat Atlanta,AGENCY,Media Planning & Buying,https://www.carat.com,Atlanta,GA,US,Carat
Carat Chicago,AGENCY,Media Planning & Buying,https://www.carat.com,Chicago,IL,US,Carat
Carat Detroit,AGENCY,Media Planning & Buying,https://www.carat.com,Detroit,MI,US,Carat
Carat Dubai,AGENCY,Media Planning & Buying,https://www.carat.com,Dubai,,UAE,Carat
Carat Dublin,AGENCY,Media Planning & Buying,https://www.carat.com,Dublin,,Ireland,Carat
Carat Edinburgh,AGENCY,Media Planning & Buying,https://www.carat.com,Edinburgh,,United Kingdom,Carat
Carat LA,AGENCY,Media Planning & Buying,https://www.carat.com,Los Angeles,CA,US,Carat
Carat Leeds,AGENCY,Media Planning & Buying,https://www.carat.com,Leeds,,United Kingdom,Carat
Carat London,AGENCY,Media Planning & Buying,https://www.carat.com,London,,United Kingdom,Carat
Carat Madrid,AGENCY,Media Planning & Buying,https://www.carat.com,Madrid,,Spain,Carat
Carat Manchester,AGENCY,Media Planning & Buying,https://www.carat.com,Manchester,,United Kingdom,Carat
Carat Melbourne,AGENCY,Media Planning & Buying,https://www.carat.com,Melbourne,,Australia,Carat
Carat Montreal,AGENCY,Media Planning & Buying,https://www.carat.com,Montreal,,Canada,Carat
Carat Newcastle,AGENCY,Media Planning & Buying,https://www.carat.com,Newcastle,,United Kingdom,Carat
Carat NY,AGENCY,Media Planning & Buying,https://www.carat.com,New York,NY,US,Carat
Carat Portland,AGENCY,Media Planning & Buying,https://www.carat.com,Portland,OR,US,Carat
Carat Seoul,AGENCY,Media Planning & Buying,https://www.carat.com,Seoul,,South Korea,Carat
Carat Singapore,AGENCY,Media Planning & Buying,https://www.carat.com,Singapore,,Singapore,Carat
Carat Sydney,AGENCY,Media Planning & Buying,https://www.carat.com,Sydney,,Australia,Carat
Carat Tokyo,AGENCY,Media Planning & Buying,https://www.carat.com,Tokyo,,Japan,Carat
Carat Toronto,AGENCY,Media Planning & Buying,https://www.carat.com,Toronto,,Canada,Carat
Carat Vancouver,AGENCY,Media Planning & Buying,https://www.carat.com,Vancouver,,Canada,Carat
dentsu international,AGENCY,Advertising & Marketing,https://www.dentsu.com,London,,United Kingdom,Dentsu
Dentsu B2B London,AGENCY,B2B Marketing,https://www.dentsu.com,London,,United Kingdom,dentsu international
dentsu health,AGENCY,Healthcare Marketing,https://www.dentsu.com,New York,NY,US,dentsu international
Dentsu International Amsterdam,AGENCY,Advertising & Marketing,https://www.dentsu.com,Amsterdam,,Netherlands,dentsu international
Dentsu International Atlanta,AGENCY,Advertising & Marketing,https://www.dentsu.com,Atlanta,GA,US,dentsu international
Dentsu international Boston,AGENCY,Advertising & Marketing,https://www.dentsu.com,Boston,MA,US,dentsu international
Dentsu International Buenos Aires,AGENCY,Advertising & Marketing,https://www.dentsu.com,Buenos Aires,,Argentina,dentsu international
Dentsu International Calgary,AGENCY,Advertising & Marketing,https://www.dentsu.com,Calgary,,Canada,dentsu international
Dentsu International Chicago,AGENCY,Advertising & Marketing,https://www.dentsu.com,Chicago,IL,US,dentsu international
Dentsu International Dallas-Fort Worth,AGENCY,Advertising & Marketing,https://www.dentsu.com,Dallas,TX,US,dentsu international
Dentsu International Detroit,AGENCY,Advertising & Marketing,https://www.dentsu.com,Detroit,MI,US,dentsu international
Dentsu International Dublin,AGENCY,Advertising & Marketing,https://www.dentsu.com,Dublin,,Ireland,dentsu international
Dentsu International LA,AGENCY,Advertising & Marketing,https://www.dentsu.com,Los Angeles,CA,US,dentsu international
Dentsu International London,AGENCY,Advertising & Marketing,https://www.dentsu.com,London,,United Kingdom,dentsu international
Dentsu International Manchester,AGENCY,Advertising & Marketing,https://www.dentsu.com,Manchester,,United Kingdom,dentsu international
Dentsu International Miami,AGENCY,Advertising & Marketing,https://www.dentsu.com,Miami,FL,US,dentsu international
Dentsu International Montreal,AGENCY,Advertising & Marketing,https://www.dentsu.com,Montreal,,Canada,dentsu international
Dentsu International Mumbai,AGENCY,Advertising & Marketing,https://www.dentsu.com,Mumbai,,India,dentsu international
Dentsu International New Delhi,AGENCY,Advertising & Marketing,https://www.dentsu.com,New Delhi,,India,dentsu international
Dentsu International NY,AGENCY,Advertising & Marketing,https://www.dentsu.com,New York,NY,US,dentsu international
Dentsu international Pune,AGENCY,Advertising & Marketing,https://www.dentsu.com,Pune,,India,dentsu international
Dentsu International Sao Paulo,AGENCY,Advertising & Marketing,https://www.dentsu.com,Sao Paulo,,Brazil,dentsu international
Dentsu International SF,AGENCY,Advertising & Marketing,https://www.dentsu.com,San Francisco,CA,US,dentsu international
Dentsu International Singapore,AGENCY,Advertising & Marketing,https://www.dentsu.com,Singapore,,Singapore,dentsu international
