companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Dentsu International LA,Agency,Contact,Managing Director,https://www.dentsu.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Culver City CA
ANZ,Main,Contact,Media Director,https://www.anz.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Melbourne
Arco,Main,Contact,Media Director,https://www.arco.com,AUTOMOTIVE,MEGA_5000_PLUS,Los Angeles CA
Cruise LLC,Main,Contact,Media Director,https://www.getcruise.com,AUTOMOTIVE,ENTERPRISE_1001_5000,San Francisco CA
Enterprise Mobility,Main,Contact,Media Director,https://www.enterprise.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,St. Louis MO
Floor & Decor,Main,Contact,Media Director,https://www.flooranddecor.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Atlanta GA
General Motors,Main,Contact,Media Director,https://www.gm.com,AUTOMOTIVE,MEGA_5000_PLUS,Detroit MI
Genesco,Main,Contact,Media Director,https://www.genesco.com,FASHION_BEAUTY,MEGA_5000_PLUS,Nashville TN
Hilton Hotels,Main,Contact,Media Director,https://www.hilton.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,McLean VA
Illinois Lottery,Main,Contact,Media Director,https://www.illinoislottery.com,ENTERTAINMENT_MEDIA,LARGE_201_1000,Chicago IL
Intel,Main,Contact,Media Director,https://www.intel.com,TECHNOLOGY,MEGA_5000_PLUS,Santa Clara CA
Jack in the Box,Main,Contact,Media Director,https://www.jackinthebox.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,San Diego CA
Kraft Heinz Company,Main,Contact,Media Director,https://www.kraftheinzcompany.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
MaxMara,Main,Contact,Media Director,https://www.maxmara.com,FASHION_BEAUTY,MEGA_5000_PLUS,Reggio Emilia
Microsoft,Main,Contact,Media Director,https://www.microsoft.com,TECHNOLOGY,MEGA_5000_PLUS,Redmond WA
Solo Stove,Main,Contact,Media Director,https://www.solostove.com,RETAIL_ECOMMERCE,MEDIUM_51_200,Southlake TX
Square Enix,Main,Contact,Media Director,https://www.square-enix.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Tokyo
Tropicana Brands Group,Main,Contact,Media Director,https://www.tropicanabrands.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Bradenton FL
United Airlines,Main,Contact,Media Director,https://www.united.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Chicago IL
Workday,Main,Contact,Media Director,https://www.workday.com,TECHNOLOGY,MEGA_5000_PLUS,Pleasanton CA
Zaxby's,Main,Contact,Media Director,https://www.zaxbys.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Athens GA
