companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Dentsu International NY,Agency,Contact,Managing Director,https://www.dentsu.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
Abercrombie & Fitch Co.,Main,Contact,Media Director,https://www.abercrombie.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,New Albany OH
Advance Auto Parts,Main,Contact,Media Director,https://www.advanceautoparts.com,AUTOMOTIVE,MEGA_5000_PLUS,Raleigh NC
Altria Group,Main,Contact,Media Director,https://www.altria.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Richmond VA
Bank of America,Main,Contact,Media Director,https://www.bankofamerica.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Charlotte NC
bet365,Main,Contact,Media Director,https://www.bet365.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Stoke-on-Trent
Bosch Group,Main,Contact,Media Director,https://www.bosch.com,TECHNOLOGY,MEGA_5000_PLUS,Stuttgart
Califia Farms,Main,Contact,Media Director,https://www.califiafarms.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Los Angeles CA
Chevrolet,Main,Contact,Media Director,https://www.chevrolet.com,AUTOMOTIVE,MEGA_5000_PLUS,Detroit MI
Chili's,Main,Contact,Media Director,https://www.chilis.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Dallas TX
Choice Hotels,Main,Contact,Media Director,https://www.choicehotels.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Rockville MD
Cox Communications, Inc.,Main,Contact,Media Director,https://www.cox.com,TELECOM,MEGA_5000_PLUS,Atlanta GA
Cracker Barrel,Main,Contact,Media Director,https://www.crackerbarrel.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Lebanon TN
Cruise LLC,Main,Contact,Media Director,https://www.getcruise.com,AUTOMOTIVE,ENTERPRISE_1001_5000,San Francisco CA
CSL Plasma,Main,Contact,Media Director,https://www.cslplasma.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Boca Raton FL
CubeSmart,Main,Contact,Media Director,https://www.cubesmart.com,CONSTRUCTION_REAL_ESTATE,MEGA_5000_PLUS,Malvern PA
Dave & Buster's,Main,Contact,Media Director,https://www.daveandbusters.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Coppell TX
DAZN,Main,Contact,Media Director,https://www.dazn.com,ENTERTAINMENT_MEDIA,ENTERPRISE_1001_5000,London
Dr. Dennis Gross Skincare,Main,Contact,Media Director,https://www.drdennisgross.com,CPG_PERSONAL_CARE,MEDIUM_51_200,New York NY
Drunk Elephant,Main,Contact,Media Director,https://www.drunkelephant.com,CPG_PERSONAL_CARE,LARGE_201_1000,Houston TX
eBay,Main,Contact,Media Director,https://www.ebay.com,TECHNOLOGY,MEGA_5000_PLUS,San Jose CA
Ferrero,Main,Contact,Media Director,https://www.ferrero.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Alba
Galderma,Main,Contact,Media Director,https://www.galderma.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Lausanne
GE Vernova,Main,Contact,Media Director,https://www.gevernova.com,TECHNOLOGY,MEGA_5000_PLUS,Cambridge MA
General Motors,Main,Contact,Media Director,https://www.gm.com,AUTOMOTIVE,MEGA_5000_PLUS,Detroit MI
GMC,Main,Contact,Media Director,https://www.gmc.com,AUTOMOTIVE,MEGA_5000_PLUS,Detroit MI
Goldman Sachs,Main,Contact,Media Director,https://www.goldmansachs.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,New York NY
Google,Main,Contact,Media Director,https://www.google.com,TECHNOLOGY,MEGA_5000_PLUS,Mountain View CA
Heineken,Main,Contact,Media Director,https://www.heineken.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Amsterdam
Hershey,Main,Contact,Media Director,https://www.hersheys.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Hershey PA
Hilton Hotels,Main,Contact,Media Director,https://www.hilton.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,McLean VA
Hudson's Bay Company,Main,Contact,Media Director,https://www.thebay.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Toronto
Hy-Vee,Main,Contact,Media Director,https://www.hy-vee.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,West Des Moines IA
IKEA,Main,Contact,Media Director,https://www.ikea.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Leiden
