companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Digitas Chicago,Agency,Contact,Managing Director,https://www.digitas.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Chicago IL
AAA,Main,Contact,Media Director,https://www.aaa.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Heathrow FL
Acushnet Company,Main,Contact,Media Director,https://www.acushnetcompany.com,SPORTS_FITNESS,ENTERPRISE_1001_5000,Fairhaven MA
Aldi,Main,Contact,Media Director,https://www.aldi.us,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Batavia IL
Amazon,Main,Contact,Media Director,https://www.amazon.com,TECHNOLOGY,MEGA_5000_PLUS,Seattle WA
Ascend Leadership,Main,Contact,Media Director,https://www.ascendleadership.com,EDUCATION,MEDIUM_51_200,San Francisco CA
Bank of America,Main,Contact,Media Director,https://www.bankofamerica.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Charlotte NC
Cars.com,Main,Contact,Media Director,https://www.cars.com,TECHNOLOGY,ENTERPRISE_1001_5000,Chicago IL
Cisco,Main,Contact,Media Director,https://www.cisco.com,TECHNOLOGY,MEGA_5000_PLUS,San Jose CA
Crocs,Main,Contact,Media Director,https://www.crocs.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Broomfield CO
Delta Dental,Main,Contact,Media Director,https://www.deltadental.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,San Francisco CA
Dropbox,Main,Contact,Media Director,https://www.dropbox.com,TECHNOLOGY,ENTERPRISE_1001_5000,San Francisco CA
Duluth Trading Company,Main,Contact,Media Director,https://www.duluthtrading.com,RETAIL_ECOMMERCE,ENTERPRISE_1001_5000,Mount Horeb WI
Exact Sciences,Main,Contact,Media Director,https://www.exactsciences.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Madison WI
Ferrara Candy Company,Main,Contact,Media Director,https://www.ferrarausa.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Chicago IL
Haleon,Main,Contact,Media Director,https://www.haleon.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,London
Hershey,Main,Contact,Media Director,https://www.thehersheycompany.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Hershey PA
Instacart,Main,Contact,Media Director,https://www.instacart.com,TECHNOLOGY,MEGA_5000_PLUS,San Francisco CA
Kellanova,Main,Contact,Media Director,https://www.kellanova.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Kroger,Main,Contact,Media Director,https://www.kroger.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Cincinnati OH
LVMH,Main,Contact,Media Director,https://www.lvmh.com,FASHION_BEAUTY,MEGA_5000_PLUS,Paris
Macy's,Main,Contact,Media Director,https://www.macys.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,New York NY
McDonald's,Main,Contact,Media Director,https://www.mcdonalds.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Medline,Main,Contact,Media Director,https://www.medline.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Northfield IL
Mizkan,Main,Contact,Media Director,https://www.mizkan.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Tokyo
Northrop Grumman,Main,Contact,Media Director,https://www.northropgrumman.com,TECHNOLOGY,MEGA_5000_PLUS,Falls Church VA
Norwegian Cruise Line,Main,Contact,Media Director,https://www.ncl.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Miami FL
Panera Bread,Main,Contact,Media Director,https://www.panerabread.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,St. Louis MO
Perrigo,Main,Contact,Media Director,https://www.perrigo.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,Dublin
Piedmont Healthcare,Main,Contact,Media Director,https://www.piedmont.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Atlanta GA
Qurate Retail Group,Main,Contact,Media Director,https://www.qurateretailgroup.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Englewood CO
RaceTrac,Main,Contact,Media Director,https://www.racetrac.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Atlanta GA
Rivian,Main,Contact,Media Director,https://www.rivian.com,AUTOMOTIVE,MEGA_5000_PLUS,Irvine CA
Samsung,Main,Contact,Media Director,https://www.samsung.com,TECHNOLOGY,MEGA_5000_PLUS,Seoul
Sol de Janeiro,Main,Contact,Media Director,https://www.soldejaneiro.com,FASHION_BEAUTY,MEDIUM_51_200,New York NY
T. Rowe Price,Main,Contact,Media Director,https://www.troweprice.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Baltimore MD
Takeda,Main,Contact,Media Director,https://www.takeda.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Tokyo
Talbots,Main,Contact,Media Director,https://www.talbots.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Hingham MA
USAA,Main,Contact,Media Director,https://www.usaa.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,San Antonio TX
Victoria's Secret & Co,Main,Contact,Media Director,https://www.victoriassecret.com,FASHION_BEAUTY,MEGA_5000_PLUS,Reynoldsburg OH
VillageMD,Main,Contact,Media Director,https://www.villagemd.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Chicago IL
Walmart,Main,Contact,Media Director,https://www.walmart.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Bentonville AR
Wella Company,Main,Contact,Media Director,https://www.wella.com,FASHION_BEAUTY,MEGA_5000_PLUS,Geneva
Whirlpool,Main,Contact,Media Director,https://www.whirlpool.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Benton Harbor MI
