companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Digitas NY,Agency,Contact,Managing Director,https://www.digitas.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
Acushnet Company,Main,Contact,Media Director,https://www.acushnetcompany.com,SPORTS_FITNESS,ENTERPRISE_1001_5000,Fairhaven MA
American Express,Main,Contact,Media Director,https://www.americanexpress.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,New York NY
Arby's,Main,Contact,Media Director,https://www.arbys.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Bank of America,Main,Contact,Media Director,https://www.bankofamerica.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Charlotte NC
CarMax,Main,Contact,Media Director,https://www.carmax.com,AUTOMOTIVE,MEGA_5000_PLUS,Richmond VA
Cisco,Main,Contact,Media Director,https://www.cisco.com,TECHNOLOGY,MEGA_5000_PLUS,San Jose CA
Comcast,Main,Contact,Media Director,https://www.comcast.com,TELECOM,MEGA_5000_PLUS,Philadelphia PA
Crocs,Main,Contact,Media Director,https://www.crocs.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Broomfield CO
Delta Airlines,Main,Contact,Media Director,https://www.delta.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Atlanta GA
Dunkin' Brands,Main,Contact,Media Director,https://www.dunkinbrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Canton MA
Edgewell Personal Care,Main,Contact,Media Director,https://www.edgewell.com,CPG_PERSONAL_CARE,MEGA_5000_PLUS,Shelton CT
Exact Sciences,Main,Contact,Media Director,https://www.exactsciences.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Madison WI
Ferrara Candy Company,Main,Contact,Media Director,https://www.ferrarausa.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Chicago IL
Fresh Beauty,Main,Contact,Media Director,https://www.fresh.com,FASHION_BEAUTY,LARGE_201_1000,New York NY
GlaxoSmithKline,Main,Contact,Media Director,https://www.gsk.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,London
Haleon,Main,Contact,Media Director,https://www.haleon.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,London
Hershey,Main,Contact,Media Director,https://www.thehersheycompany.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Hershey PA
HEYDUDE,Main,Contact,Media Director,https://www.heydude.com,FASHION_BEAUTY,MEDIUM_51_200,Boulder CO
Hippo Insurance,Main,Contact,Media Director,https://www.hippo.com,FINANCIAL_SERVICES,LARGE_201_1000,Palo Alto CA
Inspire Brands,Main,Contact,Media Director,https://www.inspirebrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
iRobot,Main,Contact,Media Director,https://www.irobot.com,TECHNOLOGY,ENTERPRISE_1001_5000,Bedford MA
Kellanova,Main,Contact,Media Director,https://www.kellanova.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
LVMH,Main,Contact,Media Director,https://www.lvmh.com,FASHION_BEAUTY,MEGA_5000_PLUS,Paris
Macy's,Main,Contact,Media Director,https://www.macys.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,New York NY
Mederer GmbH,Main,Contact,Media Director,https://www.mederer.de,CPG_FOOD_BEVERAGE,LARGE_201_1000,Nurnberg
Medline,Main,Contact,Media Director,https://www.medline.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Northfield IL
Mizkan,Main,Contact,Media Director,https://www.mizkan.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Tokyo
Mondelez,Main,Contact,Media Director,https://www.mondelezinternational.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Norwegian Cruise Line,Main,Contact,Media Director,https://www.ncl.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Miami FL
Panera Bread,Main,Contact,Media Director,https://www.panerabread.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,St. Louis MO
RaceTrac,Main,Contact,Media Director,https://www.racetrac.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Atlanta GA
Rivian,Main,Contact,Media Director,https://www.rivian.com,AUTOMOTIVE,MEGA_5000_PLUS,Irvine CA
Simply Good Foods,Main,Contact,Media Director,https://www.simplygoodfoodsco.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Denver CO
Sol de Janeiro,Main,Contact,Media Director,https://www.soldejaneiro.com,FASHION_BEAUTY,MEDIUM_51_200,New York NY
T. Rowe Price,Main,Contact,Media Director,https://www.troweprice.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Baltimore MD
Talbots,Main,Contact,Media Director,https://www.talbots.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Hingham MA
The J.M. Smucker Co.,Main,Contact,Media Director,https://www.jmsmucker.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Orrville OH
Visa,Main,Contact,Media Director,https://www.visa.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,San Francisco CA
Vonage,Main,Contact,Media Director,https://www.vonage.com,TELECOM,ENTERPRISE_1001_5000,Holmdel NJ
Walmart,Main,Contact,Media Director,https://www.walmart.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Bentonville AR
Wella Company,Main,Contact,Media Director,https://www.wella.com,FASHION_BEAUTY,MEGA_5000_PLUS,Geneva
