companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
EssenceMediacom LA,Agency,Contact,Managing Director,https://www.essencemediacom.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Los Angeles CA
Abbott Labs,Main,Contact,Media Director,https://www.abbott.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Chicago IL
Adidas,Main,Contact,Media Director,https://www.adidas.com,FASHION_BEAUTY,MEGA_5000_PLUS,Herzogenaurach
Airbnb,Main,Contact,Media Director,https://www.airbnb.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,San Francisco CA
American Airlines,Main,Contact,Media Director,https://www.aa.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Fort Worth TX
Avis Budget,Main,Contact,Media Director,https://www.avisbudgetgroup.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Parsippany NJ
Cheesecake Factory,Main,Contact,Media Director,https://www.thecheesecakefactory.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Calabasas Hills CA
Citizens Financial Group,Main,Contact,Media Director,https://www.citizensbank.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Providence RI
Dell Technologies,Main,Contact,Media Director,https://www.dell.com,TECHNOLOGY,MEGA_5000_PLUS,Round Rock TX
eHarmony,Main,Contact,Media Director,https://www.eharmony.com,TECHNOLOGY,MEDIUM_51_200,Los Angeles CA
Fairlife,Main,Contact,Media Director,https://www.fairlife.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Chicago IL
GoodRX,Main,Contact,Media Director,https://www.goodrx.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,Santa Monica CA
Google,Main,Contact,Media Director,https://www.google.com,TECHNOLOGY,MEGA_5000_PLUS,Mountain View CA
Headspace,Main,Contact,Media Director,https://www.headspace.com,HEALTHCARE_PHARMA,LARGE_201_1000,Santa Monica CA
JPMorgan Chase,Main,Contact,Media Director,https://www.jpmorganchase.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,New York NY
Mars,Main,Contact,Media Director,https://www.mars.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,McLean VA
NBCUniversal,Main,Contact,Media Director,https://www.nbcuniversal.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
Otsuka Pharmaceutical,Main,Contact,Media Director,https://www.otsuka.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Tokyo
Qualcomm,Main,Contact,Media Director,https://www.qualcomm.com,TECHNOLOGY,MEGA_5000_PLUS,San Diego CA
Reebok,Main,Contact,Media Director,https://www.reebok.com,FASHION_BEAUTY,MEGA_5000_PLUS,Boston MA
Richemont,Main,Contact,Media Director,https://www.richemont.com,FASHION_BEAUTY,MEGA_5000_PLUS,Geneva
Sony Corporation,Main,Contact,Media Director,https://www.sony.com,TECHNOLOGY,MEGA_5000_PLUS,Tokyo
Target,Main,Contact,Media Director,https://www.target.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Minneapolis MN
The Pokemon Company,Main,Contact,Media Director,https://www.pokemon.com,ENTERTAINMENT_MEDIA,LARGE_201_1000,Bellevue WA
VSP Global,Main,Contact,Media Director,https://www.vsp.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Rancho Cordova CA
