companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
FCB Chicago,Agency,Contact,Managing Director,https://www.fcb.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Chicago IL
Allergan Aesthetics,Main,Contact,Media Director,https://www.allerganaesthetics.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Dublin
Barilla,Main,Contact,Media Director,https://www.barilla.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Parma
Blue Cross Blue Shield,Main,Contact,Media Director,https://www.bcbs.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Chicago IL
Boeing,Main,Contact,Media Director,https://www.boeing.com,TECHNOLOGY,MEGA_5000_PLUS,Chicago IL
Brown-Forman,Main,Contact,Media Director,https://www.brown-forman.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Louisville KY
Clorox,Main,Contact,Media Director,https://www.clorox.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Oakland CA
Comcast,Main,Contact,Media Director,https://www.comcast.com,TELECOM,MEGA_5000_PLUS,Philadelphia PA
Cox Communications, Inc.,Main,Contact,Media Director,https://www.cox.com,TELECOM,MEGA_5000_PLUS,Atlanta GA
Discover Financial,Main,Contact,Media Director,https://www.discover.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Riverwoods IL
Great Wolf Resorts,Main,Contact,Media Director,https://www.greatwolf.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Chicago IL
Harley-Davidson,Main,Contact,Media Director,https://www.harley-davidson.com,AUTOMOTIVE,MEGA_5000_PLUS,Milwaukee WI
Home Instead Senior Care,Main,Contact,Media Director,https://www.homeinstead.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Omaha NE
Kimberly-Clark,Main,Contact,Media Director,https://www.kimberly-clark.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Irving TX
NextEra Energy,Main,Contact,Media Director,https://www.nexteraenergy.com,AUTOMOTIVE,MEGA_5000_PLUS,Juno Beach FL
PACCAR,Main,Contact,Media Director,https://www.paccar.com,AUTOMOTIVE,MEGA_5000_PLUS,Bellevue WA
USPS,Main,Contact,Media Director,https://www.usps.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Washington DC
