companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Good Apple Digital NY,Agency,Contact,Managing Director,https://www.goodapple.com,ENTERTAINMENT_MEDIA,MEDIUM_51_200,New York NY
Amneal Pharmaceuticals,Main,Contact,Media Director,https://www.amneal.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Bridgewater NJ
Apellis Pharmaceuticals,Main,Contact,Media Director,https://www.apellis.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,Waltham MA
Astellas,Main,Contact,Media Director,https://www.astellas.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Tokyo
Avadel Pharmaceuticals,Main,Contact,Media Director,https://www.avadel.com,HEALTHCARE_PHARMA,MEDIUM_51_200,Dublin
BioMarin Pharmaceutical,Main,Contact,Media Director,https://www.biomarin.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,San Rafael CA
Dollar General,Main,Contact,Media Director,https://www.dollargeneral.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Goodlettsville TN
Impel NeuroPharma,Main,Contact,Media Director,https://www.impelnp.com,HEALTHCARE_PHARMA,SMALL_11_50,Seattle WA
Kenvue,Main,Contact,Media Director,https://www.kenvue.com,CPG_PERSONAL_CARE,MEGA_5000_PLUS,Skillman NJ
Lidl,Main,Contact,Media Director,https://www.lidl.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Neckarsulm
Sarepta Therapeutics,Main,Contact,Media Director,https://www.sarepta.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,Cambridge MA
Shire Pharmaceuticals,Main,Contact,Media Director,https://www.shire.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Dublin
Treasury Wine Estates,Main,Contact,Media Director,https://www.tweglobal.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Melbourne
