companyName,companyType,industry,website,city,state,country,parentCompanyName
Havas Group,MEDIA_HOLDING_COMPANY,Advertising & Marketing,https://www.havasgroup.com,Paris,,France,
Havas Media Group,AGENCY,Media Planning & Buying,https://www.havasmedia.com,New York,NY,US,Havas Group
Havas Media Barcelona,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Barcelona,,Spain,Havas Media Group
Havas Media Bogota,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Bogota,,Colombia,Havas Media Group
Havas Media Boston,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Boston,MA,US,Havas Media Group
Havas Media Chicago,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Chicago,IL,US,Havas Media Group
Havas Media Dubai,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Dubai,,UAE,Havas Media Group
Havas Media France,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Paris,,France,Havas Media Group
Havas Media Frankfurt,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Frankfurt,,Germany,Havas Media Group
Havas Media Madrid,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Madrid,,Spain,Havas Media Group
Havas Media Mexico City,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Mexico City,,Mexico,Havas Media Group
Havas Media Miami,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Miami,FL,US,Havas Media Group
Havas Media Minneapolis,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Minneapolis,MN,US,Havas Media Group
Havas Media Montreal,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Montreal,,Canada,Havas Media Group
Havas Media NY,AGENCY,Media Planning & Buying,https://www.havasmedia.com,New York,NY,US,Havas Media Group
Havas Media San Diego,AGENCY,Media Planning & Buying,https://www.havasmedia.com,San Diego,CA,US,Havas Media Group
Havas Media SF,AGENCY,Media Planning & Buying,https://www.havasmedia.com,San Francisco,CA,US,Havas Media Group
Havas Media Singapore,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Singapore,,Singapore,Havas Media Group
Havas Media Sydney,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Sydney,,Australia,Havas Media Group
Havas Media Toronto,AGENCY,Media Planning & Buying,https://www.havasmedia.com,Toronto,,Canada,Havas Media Group
Havas Media UK,AGENCY,Media Planning & Buying,https://www.havasmedia.com,London,,United Kingdom,Havas Media Group
Havas Creative,AGENCY,Advertising & Marketing,https://www.havas.com,New York,NY,US,Havas Group
Field Day,AGENCY,Advertising & Marketing,https://www.fieldday.com,New York,NY,US,Havas Creative
Havas Annex,AGENCY,Advertising & Marketing,https://www.havas.com,New York,NY,US,Havas Creative
Havas Boston,AGENCY,Advertising & Marketing,https://www.havas.com,Boston,MA,US,Havas Creative
Havas Chicago,AGENCY,Advertising & Marketing,https://www.havas.com,Chicago,IL,US,Havas Creative
Havas Creative Atlanta,AGENCY,Advertising & Marketing,https://www.havas.com,Atlanta,GA,US,Havas Creative
Havas CX NY,AGENCY,Advertising & Marketing,https://www.havas.com,New York,NY,US,Havas Creative
Havas CX Toronto,AGENCY,Advertising & Marketing,https://www.havas.com,Toronto,,Canada,Havas Creative
Havas Dusseldorf,AGENCY,Advertising & Marketing,https://www.havas.com,Dusseldorf,,Germany,Havas Creative
Havas London,AGENCY,Advertising & Marketing,https://www.havas.com,London,,United Kingdom,Havas Creative
Havas Mexico City,AGENCY,Advertising & Marketing,https://www.havas.com,Mexico City,,Mexico,Havas Creative
Havas Montreal,AGENCY,Advertising & Marketing,https://www.havas.com,Montreal,,Canada,Havas Creative
Havas NY,AGENCY,Advertising & Marketing,https://www.havas.com,New York,NY,US,Havas Creative
Havas SF,AGENCY,Advertising & Marketing,https://www.havas.com,San Francisco,CA,US,Havas Creative
