companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Haworth Minneapolis,Agency,Contact,Managing Director,https://www.haworth.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Minneapolis MN
Academy of Motion Picture Arts & Sciences,Main,Contact,Media Director,https://www.oscars.org,ENTERTAINMENT_MEDIA,LARGE_201_1000,Beverly Hills CA
Allstate,Main,Contact,Media Director,https://www.allstate.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Northbrook IL
Alzheimer's Association,Main,Contact,Media Director,https://www.alz.org,HEALTHCARE_PHARMA,LARGE_201_1000,Chicago IL
American Public Education,Main,Contact,Media Director,https://www.apei.com,EDUCATION,ENTERPRISE_1001_5000,Charles Town WV
Apple,Main,Contact,Media Director,https://www.apple.com,TECHNOLOGY,MEGA_5000_PLUS,Cupertino CA
Blue Stem Brands,Main,Contact,Media Director,https://www.bluestembrands.com,RETAIL_ECOMMERCE,LARGE_201_1000,Eden Prairie MN
Boyd Gaming,Main,Contact,Media Director,https://www.boydgaming.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Las Vegas NV
Children's Hospital of Philadelphia,Main,Contact,Media Director,https://www.chop.edu,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Philadelphia PA
CRISP & GREEN,Main,Contact,Media Director,https://www.crispandgreen.com,CPG_FOOD_BEVERAGE,MEDIUM_51_200,Minneapolis MN
Daiya Foods,Main,Contact,Media Director,https://www.daiyafoods.com,CPG_FOOD_BEVERAGE,MEDIUM_51_200,Vancouver
HealthPartners,Main,Contact,Media Director,https://www.healthpartners.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Bloomington MN
HHC,Main,Contact,Media Director,https://www.hhchealth.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,New York NY
Mark Anthony Group,Main,Contact,Media Director,https://www.markanthony.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Vancouver
Mars,Main,Contact,Media Director,https://www.mars.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,McLean VA
Medtronic,Main,Contact,Media Director,https://www.medtronic.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Dublin
PURALIMA,Main,Contact,Media Director,https://www.puralima.com,CPG_FOOD_BEVERAGE,SMALL_11_50,Los Angeles CA
Schwan's Company,Main,Contact,Media Director,https://www.schwans.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Bloomington MN
Service Corporation International,Main,Contact,Media Director,https://www.sci-corp.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Houston TX
St. Jude Children's Hospital,Main,Contact,Media Director,https://www.stjude.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Memphis TN
STEELE BRANDS,Main,Contact,Media Director,https://www.steelebrands.com,CPG_FOOD_BEVERAGE,MEDIUM_51_200,Denver CO
Therabody,Main,Contact,Media Director,https://www.therabody.com,SPORTS_FITNESS,LARGE_201_1000,Los Angeles CA
Tiki Brand,Main,Contact,Media Director,https://www.tiki.com,CPG_HOUSEHOLD,LARGE_201_1000,Kenosha WI
W.C. Bradley Co.,Main,Contact,Media Director,https://www.wcbradley.com,CPG_HOUSEHOLD,ENTERPRISE_1001_5000,Columbus GA
Walmart,Main,Contact,Media Director,https://www.walmart.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Bentonville AR
