companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Horizon Media LA,Agency,Contact,Managing Director,https://www.horizonmedia.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Los Angeles CA
AMC Networks,Main,Contact,Media Director,https://www.amcnetworks.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
Asahi,Main,Contact,Media Director,https://www.asahibeer.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Tokyo
Black Bear Pictures,Main,Contact,Media Director,https://www.blackbearpictures.com,ENTERTAINMENT_MEDIA,MEDIUM_51_200,Los Angeles CA
Bleecker Street,Main,Contact,Media Director,https://www.bleeckerstreetmedia.com,ENTERTAINMENT_MEDIA,SMALL_11_50,New York NY
Boar's Head,Main,Contact,Media Director,https://www.boarshead.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Sarasota FL
Bombas,Main,Contact,Media Director,https://www.bombas.com,FASHION_BEAUTY,MEDIUM_51_200,New York NY
California Lottery,Main,Contact,Media Director,https://www.calottery.com,ENTERTAINMENT_MEDIA,LARGE_201_1000,Sacramento CA
Capital One,Main,Contact,Media Director,https://www.capitalone.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,McLean VA
Charter Communications,Main,Contact,Media Director,https://www.charter.com,TELECOM,MEGA_5000_PLUS,Stamford CT
CHI Health,Main,Contact,Media Director,https://www.chihealth.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Omaha NE
CommonSpirit Health,Main,Contact,Media Director,https://www.commonspirit.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Chicago IL
Dave's Hot Chicken,Main,Contact,Media Director,https://www.daveshotchicken.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Los Angeles CA
Dignity Health,Main,Contact,Media Director,https://www.dignityhealth.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,San Francisco CA
Dish Network,Main,Contact,Media Director,https://www.dish.com,TELECOM,MEGA_5000_PLUS,Englewood CO
Earnest,Main,Contact,Media Director,https://www.earnest.com,FINANCIAL_SERVICES,MEDIUM_51_200,San Francisco CA
Fanatics,Main,Contact,Media Director,https://www.fanatics.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Jacksonville FL
Fisher Investments,Main,Contact,Media Director,https://www.fisherinvestments.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Camas WA
Glanbia Performance Nutrition,Main,Contact,Media Director,https://www.glanbiapn.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Chicago IL
Golden Corral,Main,Contact,Media Director,https://www.goldencorral.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Raleigh NC
Great Wolf Resorts,Main,Contact,Media Director,https://www.greatwolf.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Chicago IL
Honda,Main,Contact,Media Director,https://www.honda.com,AUTOMOTIVE,MEGA_5000_PLUS,Tokyo
IHOP,Main,Contact,Media Director,https://www.ihop.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Pasadena CA
INSP,Main,Contact,Media Director,https://www.insp.com,ENTERTAINMENT_MEDIA,MEDIUM_51_200,Indian Land SC
LA28,Main,Contact,Media Director,https://www.la28.org,SPORTS_FITNESS,LARGE_201_1000,Los Angeles CA
Lionsgate,Main,Contact,Media Director,https://www.lionsgate.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Santa Monica CA
Live Nation,Main,Contact,Media Director,https://www.livenation.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Beverly Hills CA
Los Angeles Exploratory Olympic Committee,Main,Contact,Media Director,https://www.la28.org,SPORTS_FITNESS,LARGE_201_1000,Los Angeles CA
NFL,Main,Contact,Media Director,https://www.nfl.com,SPORTS_FITNESS,MEGA_5000_PLUS,New York NY
Primo Brands,Main,Contact,Media Director,https://www.primobrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Tampa FL
Redfin,Main,Contact,Media Director,https://www.redfin.com,REAL_ESTATE,MEGA_5000_PLUS,Seattle WA
Regeneron Pharmaceuticals,Main,Contact,Media Director,https://www.regeneron.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Tarrytown NY
Revlon,Main,Contact,Media Director,https://www.revlon.com,FASHION_BEAUTY,MEGA_5000_PLUS,New York NY
Rollins Inc,Main,Contact,Media Director,https://www.rollins.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Atlanta GA
Rover.com,Main,Contact,Media Director,https://www.rover.com,TECHNOLOGY,LARGE_201_1000,Seattle WA
Safelite Auto Glass,Main,Contact,Media Director,https://www.safelite.com,AUTOMOTIVE,MEGA_5000_PLUS,Columbus OH
SeaWorld Parks & Entertainment,Main,Contact,Media Director,https://www.seaworldentertainment.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Orlando FL
SharkNinja,Main,Contact,Media Director,https://www.sharkninja.com,CPG_HOUSEHOLD,ENTERPRISE_1001_5000,Needham MA
ShipStation,Main,Contact,Media Director,https://www.shipstation.com,TECHNOLOGY,LARGE_201_1000,Austin TX
Stamps.com,Main,Contact,Media Director,https://www.stamps.com,TECHNOLOGY,LARGE_201_1000,El Segundo CA
