companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Horizon Next NY,Agency,Contact,Managing Director,https://www.horizonmedia.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
A Place for Mom,Main,Contact,Media Director,https://www.aplaceformom.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,Seattle WA
ADT,Main,Contact,Media Director,https://www.adt.com,TECHNOLOGY,MEGA_5000_PLUS,Boca Raton FL
Adtalem Global Education,Main,Contact,Media Director,https://www.adtalem.com,EDUCATION,MEGA_5000_PLUS,Chicago IL
AMC Networks,Main,Contact,Media Director,https://www.amcnetworks.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
Amplifon,Main,Contact,Media Director,https://www.amplifon.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Milan
Atlanta Tourism,Main,Contact,Media Director,https://www.atlanta.net,TRAVEL_HOSPITALITY,MEDIUM_51_200,Atlanta GA
Atlantis Bahamas,Main,Contact,Media Director,https://www.atlantisbahamas.com,TRAVEL_HOSPITALITY,ENTERPRISE_1001_5000,Nassau
Bob's Discount Furniture,Main,Contact,Media Director,https://www.mybobs.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Manchester CT
Bombas,Main,Contact,Media Director,https://www.bombas.com,FASHION_BEAUTY,MEDIUM_51_200,New York NY
Care.com,Main,Contact,Media Director,https://www.care.com,TECHNOLOGY,ENTERPRISE_1001_5000,Waltham MA
Carvana,Main,Contact,Media Director,https://www.carvana.com,AUTOMOTIVE,MEGA_5000_PLUS,Tempe AZ
Champion Petfoods,Main,Contact,Media Director,https://www.championpetfoods.com,CPG_HOUSEHOLD,LARGE_201_1000,Edmonton
Champion Windows,Main,Contact,Media Director,https://www.championwindow.com,REAL_ESTATE,ENTERPRISE_1001_5000,Cincinnati OH
Charlotte Tilbury,Main,Contact,Media Director,https://www.charlottetilbury.com,FASHION_BEAUTY,LARGE_201_1000,London
Charter Communications,Main,Contact,Media Director,https://www.charter.com,TELECOM,MEGA_5000_PLUS,Stamford CT
Credit Karma,Main,Contact,Media Director,https://www.creditkarma.com,FINANCIAL_SERVICES,ENTERPRISE_1001_5000,San Francisco CA
Dish Network,Main,Contact,Media Director,https://www.dish.com,TELECOM,MEGA_5000_PLUS,Englewood CO
