companyName,companyType,industry,website,city,state,country,parentCompanyName
Planit,AGENCY,Advertising & Marketing,https://www.planit.com,Baltimore,MD,US,
DuPont,ADVERTISER,Chemicals & Materials,https://www.dupont.com,Wilmington,DE,US,
Ebro Foods,ADVERTISER,Food & Beverage,https://www.ebrofoods.com,Madrid,,Spain,
Cooper Smith Stamford,AGENCY,Advertising & Marketing,,Stamford,CT,US,
Horizon Media NY,AGENCY,Media Planning & Buying,https://www.horizonmedia.com,New York,NY,US,
3fold Communications,AGENCY,Public Relations,https://www.3foldcomm.com,Denver,CO,US,
Astronomie,AGENCY,Digital Marketing,https://www.astronomie.com,Portland,OR,US,
Tinuiti LA,AGENCY,Digital Marketing,https://www.tinuiti.com,Los Angeles,CA,US,
Kepler Group Philadelphia,AGENCY,Media Planning & Buying,https://www.keplergrp.com,Philadelphia,PA,US,
Tinuiti NY,AGENCY,Digital Marketing,https://www.tinuiti.com,New York,NY,US,
Miles Partnership Denver,AGENCY,Tourism Marketing,https://www.milespartnership.com,Denver,CO,US,
Power Digital,AGENCY,Digital Marketing,https://www.powerdigitalmarketing.com,San Diego,CA,US,
Chamberlain Group,ADVERTISER,Consumer Products,https://www.chamberlaingroup.com,Oak Brook,IL,US,
Goldbelly,ADVERTISER,Food & Beverage,https://www.goldbelly.com,New York,NY,US,
MyFitnessPal,ADVERTISER,Health & Wellness,https://www.myfitnesspal.com,Austin,TX,US,
Duncan Channon,AGENCY,Advertising & Marketing,https://www.duncanchannon.com,San Francisco,CA,US,
Birkenstock,ADVERTISER,Retail & Footwear,https://www.birkenstock.com,Linz am Rhein,,Germany,
California Department of Public Health,ADVERTISER,Government & Public Sector,https://www.cdph.ca.gov,Sacramento,CA,US,
Golden State Warriors,ADVERTISER,Sports & Entertainment,https://www.nba.com/warriors,San Francisco,CA,US,
Fundamental Media Boston,AGENCY,Financial Marketing,https://www.fundamentalmedia.com,Boston,MA,US,
Allspring Global,ADVERTISER,Financial Services,https://www.allspringglobal.com,San Francisco,CA,US,
Northern Trust,ADVERTISER,Financial Services,https://www.northerntrust.com,Chicago,IL,US,
PIMCO,ADVERTISER,Financial Services,https://www.pimco.com,Newport Beach,CA,US,
State Street,ADVERTISER,Financial Services,https://www.statestreet.com,Boston,MA,US,
PMG Dallas,AGENCY,Digital Marketing,https://www.pmg.com,Dallas,TX,US,
Ace Hardware,ADVERTISER,Retail & Home Improvement,https://www.acehardware.com,Oak Brook,IL,US,
Apple,ADVERTISER,Technology,https://www.apple.com,Cupertino,CA,US,
Nike,ADVERTISER,Retail & Footwear,https://www.nike.com,Beaverton,OR,US,
Nordstrom,ADVERTISER,Retail & Fashion,https://www.nordstrom.com,Seattle,WA,US,
Intelligent Demand,AGENCY,B2B Marketing,https://www.intelligentdemand.com,Denver,CO,US,
WITHIN,AGENCY,Digital Marketing,https://www.within.co,New York,NY,US,
Pinnacle Advertising Chicago,AGENCY,Advertising & Marketing,https://www.pinnacle-advertising.com,Chicago,IL,US,
Talon Outdoor NY,AGENCY,Out-of-Home Advertising,https://www.talonoutdoor.com,New York,NY,US,
EssenceMediacom Bangalore,AGENCY,Media Planning & Buying,https://www.essencemediacom.com,Bangalore,,India,
Wpromote NY,AGENCY,Digital Marketing,https://www.wpromote.com,New York,NY,US,
Billups NY,AGENCY,Out-of-Home Advertising,https://www.billups.com,New York,NY,US,
Quan Media Group,AGENCY,Media Planning & Buying,https://www.quanmediagroup.com,New York,NY,US,
GroupeConnect Boston,AGENCY,Marketing Services,https://www.groupeconnect.com,Boston,MA,US,
GroupeConnect Chicago,AGENCY,Marketing Services,https://www.groupeconnect.com,Chicago,IL,US,
Cannonball Agency,AGENCY,Advertising & Marketing,,Nashville,TN,US,
USIM NY,AGENCY,Media Planning & Buying,https://www.usim.com,New York,NY,US,
Horizon Next NY,AGENCY,Media Planning & Buying,https://www.horizonmedia.com,New York,NY,US,
Good Apple Digital Las Vegas,AGENCY,Digital Marketing,https://www.goodapple.com,Las Vegas,NV,US,
Bold Orange,AGENCY,Advertising & Marketing,https://www.boldorange.com,Philadelphia,PA,US,
Canvas Worldwide LA,AGENCY,Media Planning & Buying,https://www.canvasworldwide.com,Los Angeles,CA,US,
Real Chemistry NY,AGENCY,Healthcare Communications,https://www.realchemistry.com,New York,NY,US,
Good Apple Digital NY,AGENCY,Digital Marketing,https://www.goodapple.com,New York,NY,US,
Horizon Media LA,AGENCY,Media Planning & Buying,https://www.horizonmedia.com,Los Angeles,CA,US,
Barbarian Group,AGENCY,Digital Marketing,https://www.barbariangroup.com,New York,NY,US,
Novus Media Chicago,AGENCY,Media Planning & Buying,https://www.novusmedia.com,Chicago,IL,US,
Realm B2B,AGENCY,B2B Marketing,https://www.realmb2b.com,Denver,CO,US,
Billups Chicago,AGENCY,Out-of-Home Advertising,https://www.billups.com,Chicago,IL,US,
PMG Fort Worth,AGENCY,Digital Marketing,https://www.pmg.com,Fort Worth,TX,US,
Fingerpaint Philadelphia,AGENCY,Healthcare Marketing,https://www.fingerpaint.com,Philadelphia,PA,US,
Cossette Toronto,AGENCY,Advertising & Marketing,https://www.cossette.com,Toronto,,Canada,
WPP Unite,AGENCY,Marketing Services,https://www.wpp.com,London,,UK,
ROI DNA,AGENCY,Digital Marketing,https://www.roidna.com,New York,NY,US,
Haworth Minneapolis,AGENCY,Marketing Services,https://www.haworth.com,Minneapolis,MN,US,
Project X Media NY,AGENCY,Media Planning & Buying,https://www.projectxmedia.com,New York,NY,US,
Curious Plot,AGENCY,Creative Agency,https://www.curiousplot.com,Brooklyn,NY,US,
LT Phoenix,AGENCY,Advertising & Marketing,,Phoenix,AZ,US,
Benedict Advertising,AGENCY,Advertising & Marketing,https://www.benedictadvertising.com,Daytona Beach,FL,US,
Ovative/group Minneapolis,AGENCY,Digital Marketing,https://www.ovative.com,Minneapolis,MN,US,
Gravity Global Minneapolis,AGENCY,B2B Marketing,https://www.gravityglobal.com,Minneapolis,MN,US,
Known NY,AGENCY,Advertising & Marketing,https://www.known.co,New York,NY,US,
PMG Austin,AGENCY,Digital Marketing,https://www.pmg.com,Austin,TX,US,
Bully Pulpit Interactive DC,AGENCY,Political & Public Affairs,https://www.bpimedia.com,Washington,DC,US,
Bully Pulpit Interactive NY,AGENCY,Political & Public Affairs,https://www.bpimedia.com,New York,NY,US,
Brainlabs,AGENCY,Digital Marketing,https://www.brainlabsdigital.com,London,,UK,
22squared Atlanta,AGENCY,Advertising & Marketing,https://www.22squared.com,Atlanta,GA,US,
Real Chemistry Philadelphia,AGENCY,Healthcare Communications,https://www.realchemistry.com,Philadelphia,PA,US,
