companyName,companyType,industry,website,city,state,country,parentCompanyName
Interpublic Group,MEDIA_HOLDING_COMPANY,Advertising & Marketing,https://www.interpublic.com,New York,NY,US,
Kinesso,AGENCY,Marketing Technology,https://www.kinesso.com,New York,NY,US,Interpublic Group
Kinesso Atlanta,AGENCY,Marketing Technology,https://www.kinesso.com,Atlanta,GA,US,Interpublic Group
Kinesso Chicago,AGENCY,Marketing Technology,https://www.kinesso.com,Chicago,IL,US,Interpublic Group
Kinesso Detroit,AGENCY,Marketing Technology,https://www.kinesso.com,Detroit,MI,US,Interpublic Group
Kinesso LA,AGENCY,Marketing Technology,https://www.kinesso.com,Los Angeles,CA,US,Interpublic Group
Kinesso London,AGENCY,Marketing Technology,https://www.kinesso.com,London,,United Kingdom,Interpublic Group
Kinesso Melbourne,AGENCY,Marketing Technology,https://www.kinesso.com,Melbourne,,Australia,Interpublic Group
Kinesso Mexico City,AGENCY,Marketing Technology,https://www.kinesso.com,Mexico City,,Mexico,Interpublic Group
Kinesso Montreal,AGENCY,Marketing Technology,https://www.kinesso.com,Montreal,,Canada,Interpublic Group
Kinesso NY,AGENCY,Marketing Technology,https://www.kinesso.com,New York,NY,US,Interpublic Group
Kinesso Sao Paulo,AGENCY,Marketing Technology,https://www.kinesso.com,Sao Paulo,,Brazil,Interpublic Group
Kinesso SF,AGENCY,Marketing Technology,https://www.kinesso.com,San Francisco,CA,US,Interpublic Group
Kinesso Sydney,AGENCY,Marketing Technology,https://www.kinesso.com,Sydney,,Australia,Interpublic Group
Kinesso Toronto,AGENCY,Marketing Technology,https://www.kinesso.com,Toronto,,Canada,Interpublic Group
Kinesso Vancouver,AGENCY,Marketing Technology,https://www.kinesso.com,Vancouver,,Canada,Interpublic Group
Mediahub Worldwide,AGENCY,Media Planning & Buying,https://www.mediahubww.com,Boston,MA,US,Interpublic Group
Mediahub Worldwide Boston,AGENCY,Media Planning & Buying,https://www.mediahubww.com,Boston,MA,US,Interpublic Group
Mediahub Worldwide LA,AGENCY,Media Planning & Buying,https://www.mediahubww.com,Los Angeles,CA,US,Interpublic Group
Mediahub Worldwide Minneapolis,AGENCY,Media Planning & Buying,https://www.mediahubww.com,Minneapolis,MN,US,Interpublic Group
Mediahub Worldwide NY,AGENCY,Media Planning & Buying,https://www.mediahubww.com,New York,NY,US,Interpublic Group
Mediahub Worldwide UK,AGENCY,Media Planning & Buying,https://www.mediahubww.com,London,,United Kingdom,Interpublic Group
Mediahub Worldwide Winston-Salem,AGENCY,Media Planning & Buying,https://www.mediahubww.com,Winston-Salem,NC,US,Interpublic Group
Initiative,AGENCY,Media Planning & Buying,https://www.initiative.com,New York,NY,US,Interpublic Group
Initiative Atlanta,AGENCY,Media Planning & Buying,https://www.initiative.com,Atlanta,GA,US,Interpublic Group
Initiative Chicago,AGENCY,Media Planning & Buying,https://www.initiative.com,Chicago,IL,US,Interpublic Group
Initiative Dallas,AGENCY,Media Planning & Buying,https://www.initiative.com,Dallas,TX,US,Interpublic Group
Initiative LA,AGENCY,Media Planning & Buying,https://www.initiative.com,Los Angeles,CA,US,Interpublic Group
Initiative London,AGENCY,Media Planning & Buying,https://www.initiative.com,London,,United Kingdom,Interpublic Group
Initiative Miami,AGENCY,Media Planning & Buying,https://www.initiative.com,Miami,FL,US,Interpublic Group
Initiative Montreal,AGENCY,Media Planning & Buying,https://www.initiative.com,Montreal,,Canada,Interpublic Group
Initiative NY,AGENCY,Media Planning & Buying,https://www.initiative.com,New York,NY,US,Interpublic Group
Initiative Perth,AGENCY,Media Planning & Buying,https://www.initiative.com,Perth,,Australia,Interpublic Group
Initiative Phoenix,AGENCY,Media Planning & Buying,https://www.initiative.com,Phoenix,AZ,US,Interpublic Group
Initiative Puerto Rico,AGENCY,Media Planning & Buying,https://www.initiative.com,San Juan,,Puerto Rico,Interpublic Group
Initiative Sao Paulo,AGENCY,Media Planning & Buying,https://www.initiative.com,Sao Paulo,,Brazil,Interpublic Group
Initiative Sydney,AGENCY,Media Planning & Buying,https://www.initiative.com,Sydney,,Australia,Interpublic Group
Initiative Toronto,AGENCY,Media Planning & Buying,https://www.initiative.com,Toronto,,Canada,Interpublic Group
Universal McCann,AGENCY,Media Planning & Buying,https://www.universalmccann.com,New York,NY,US,Interpublic Group
Universal McCann Austin,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Austin,TX,US,Interpublic Group
Universal McCann Boston,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Boston,MA,US,Interpublic Group
Universal McCann Chicago,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Chicago,IL,US,Interpublic Group
Universal McCann Dallas,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Dallas,TX,US,Interpublic Group
Universal McCann Detroit,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Detroit,MI,US,Interpublic Group
Universal McCann Dubai,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Dubai,,United Arab Emirates,Interpublic Group
Universal McCann Hong Kong,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Hong Kong,,Hong Kong,Interpublic Group
Universal McCann LA,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Los Angeles,CA,US,Interpublic Group
Universal McCann London,AGENCY,Media Planning & Buying,https://www.universalmccann.com,London,,United Kingdom,Interpublic Group
Universal McCann Melbourne,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Melbourne,,Australia,Interpublic Group
Universal McCann Miami,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Miami,FL,US,Interpublic Group
Universal McCann NY,AGENCY,Media Planning & Buying,https://www.universalmccann.com,New York,NY,US,Interpublic Group
Universal McCann Philippines,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Manila,,Philippines,Interpublic Group
Universal McCann Qatar,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Doha,,Qatar,Interpublic Group
Universal McCann SF,AGENCY,Media Planning & Buying,https://www.universalmccann.com,San Francisco,CA,US,Interpublic Group
Universal McCann Singapore,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Singapore,,Singapore,Interpublic Group
Universal McCann Sydney,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Sydney,,Australia,Interpublic Group
Universal McCann Toronto,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Toronto,,Canada,Interpublic Group
Universal McCann Vienna,AGENCY,Media Planning & Buying,https://www.universalmccann.com,Vienna,,Austria,Interpublic Group
IPG Mediabrands,AGENCY,Media Services,https://www.ipgmediabrands.com,New York,NY,US,Interpublic Group
IPG Mediabrands Detroit,AGENCY,Media Services,https://www.ipgmediabrands.com,Detroit,MI,US,Interpublic Group
IPG Mediabrands LA,AGENCY,Media Services,https://www.ipgmediabrands.com,Los Angeles,CA,US,Interpublic Group
IPG Mediabrands Lisbon,AGENCY,Media Services,https://www.ipgmediabrands.com,Lisbon,,Portugal,Interpublic Group
IPG Mediabrands London,AGENCY,Media Services,https://www.ipgmediabrands.com,London,,United Kingdom,Interpublic Group
IPG Mediabrands Miami-LATAM,AGENCY,Media Services,https://www.ipgmediabrands.com,Miami,FL,US,Interpublic Group
IPG Mediabrands Montreal,AGENCY,Media Services,https://www.ipgmediabrands.com,Montreal,,Canada,Interpublic Group
IPG Mediabrands Mumbai,AGENCY,Media Services,https://www.ipgmediabrands.com,Mumbai,,India,Interpublic Group
IPG Mediabrands NY,AGENCY,Media Services,https://www.ipgmediabrands.com,New York,NY,US,Interpublic Group
IPG Mediabrands Toronto,AGENCY,Media Services,https://www.ipgmediabrands.com,Toronto,,Canada,Interpublic Group
Mediabrands Content Studio LA,AGENCY,Content Production,https://www.ipgmediabrands.com,Los Angeles,CA,US,Interpublic Group
Mediabrands Content Studio London,AGENCY,Content Production,https://www.ipgmediabrands.com,London,,United Kingdom,Interpublic Group
Mediabrands Content Studio NY,AGENCY,Content Production,https://www.ipgmediabrands.com,New York,NY,US,Interpublic Group
FCB,AGENCY,Advertising & Marketing,https://www.fcb.com,New York,NY,US,Interpublic Group
FCB Auckland,AGENCY,Advertising & Marketing,https://www.fcb.com,Auckland,,New Zealand,Interpublic Group
FCB Chicago,AGENCY,Advertising & Marketing,https://www.fcb.com,Chicago,IL,US,Interpublic Group
FCB LA,AGENCY,Advertising & Marketing,https://www.fcb.com,Los Angeles,CA,US,Interpublic Group
FCB Montreal,AGENCY,Advertising & Marketing,https://www.fcb.com,Montreal,,Canada,Interpublic Group
FCB NY,AGENCY,Advertising & Marketing,https://www.fcb.com,New York,NY,US,Interpublic Group
FCB Seattle,AGENCY,Advertising & Marketing,https://www.fcb.com,Seattle,WA,US,Interpublic Group
FCB SF,AGENCY,Advertising & Marketing,https://www.fcb.com,San Francisco,CA,US,Interpublic Group
