companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
iProspect NY,Agency,Contact,Managing Director,https://www.iprospect.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
Abercrombie & Fitch Co.,Main,Contact,Media Director,https://www.abercrombie.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,New Albany OH
Amazon,Main,Contact,Media Director,https://www.amazon.com,TECHNOLOGY,MEGA_5000_PLUS,Seattle WA
Amplifon,Main,Contact,Media Director,https://www.amplifon.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Milan
Ashley,Main,Contact,Media Director,https://www.ashleyfurniture.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Arcadia WI
Aspen Dental,Main,Contact,Media Director,https://www.aspendental.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,East Syracuse NY
Bass Pro Shops,Main,Contact,Media Director,https://www.basspro.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Springfield MO
BayCare Health System,Main,Contact,Media Director,https://www.baycare.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Clearwater FL
Bloomingdale's,Main,Contact,Media Director,https://www.bloomingdales.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,New York NY
Cancer Treatment Centers,Main,Contact,Media Director,https://www.cancercenter.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Boca Raton FL
Carter's,Main,Contact,Media Director,https://www.carters.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Atlanta GA
CertaPro Painters,Main,Contact,Media Director,https://www.certapro.com,CONSTRUCTION_REAL_ESTATE,ENTERPRISE_1001_5000,Oaks PA
Citizens Financial Group,Main,Contact,Media Director,https://www.citizensbank.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Providence RI
City of Hope,Main,Contact,Media Director,https://www.cityofhope.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Los Angeles CA
ClearChoice Dental Implant Centers,Main,Contact,Media Director,https://www.clearchoice.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,Denver CO
Cleveland Clinic Foundation,Main,Contact,Media Director,https://www.clevelandclinic.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Cleveland OH
Connecticut Tourism,Main,Contact,Media Director,https://www.ctvisit.com,TRAVEL_HOSPITALITY,MEDIUM_51_200,Hartford CT
Cox Communications, Inc.,Main,Contact,Media Director,https://www.cox.com,TELECOM,MEGA_5000_PLUS,Atlanta GA
Cracker Barrel,Main,Contact,Media Director,https://www.crackerbarrel.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Lebanon TN
CSL Plasma,Main,Contact,Media Director,https://www.cslplasma.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Boca Raton FL
Dollar General,Main,Contact,Media Director,https://www.dollargeneral.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Goodlettsville TN
Driveway,Main,Contact,Media Director,https://www.driveway.com,AUTOMOTIVE,LARGE_201_1000,Austin TX
eBay,Main,Contact,Media Director,https://www.ebay.com,TECHNOLOGY,MEGA_5000_PLUS,San Jose CA
Eyemart Express,Main,Contact,Media Director,https://www.eyemartexpress.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,San Antonio TX
Feld Entertainment,Main,Contact,Media Director,https://www.feldentertainment.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Ellenton FL
Ferrara Candy Company,Main,Contact,Media Director,https://www.ferrarausa.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Ferraro Foods,Main,Contact,Media Director,https://www.ferrarofoods.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Parsippany NJ
Ferrero,Main,Contact,Media Director,https://www.ferrero.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Alba
Fiskars,Main,Contact,Media Director,https://www.fiskars.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Helsinki
Gap Inc.,Main,Contact,Media Director,https://www.gap.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,San Francisco CA
General Assembly,Main,Contact,Media Director,https://www.generalassemb.ly,EDUCATION,LARGE_201_1000,New York NY
General Mills,Main,Contact,Media Director,https://www.generalmills.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Minneapolis MN
Genesco,Main,Contact,Media Director,https://www.genesco.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Nashville TN
Habitat for Humanity International,Main,Contact,Media Director,https://www.habitat.org,NONPROFIT_ASSOCIATION,MEGA_5000_PLUS,Atlanta GA
