companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Mindshare Chicago,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Chicago IL
AstraZeneca,Main,Contact,Media Director,https://www.astrazeneca.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Cambridge
BAE Systems,Main,Contact,Media Director,https://www.baesystems.com,TECHNOLOGY,MEGA_5000_PLUS,Farnborough
BlackRock,Main,Contact,Media Director,https://www.blackrock.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,New York NY
BP,Main,Contact,Media Director,https://www.bp.com,AUTOMOTIVE,MEGA_5000_PLUS,London
Campari Group,Main,Contact,Media Director,https://www.camparigroup.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Milan
Capital One,Main,Contact,Media Director,https://www.capitalone.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,McLean VA
Caterpillar,Main,Contact,Media Director,https://www.caterpillar.com,AUTOMOTIVE,MEGA_5000_PLUS,Irving TX
CDW,Main,Contact,Media Director,https://www.cdw.com,TECHNOLOGY,MEGA_5000_PLUS,Vernon Hills IL
Church's Texas Chicken,Main,Contact,Media Director,https://www.churchs.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Denny's,Main,Contact,Media Director,https://www.dennys.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Spartanburg SC
Discover Financial,Main,Contact,Media Director,https://www.discover.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Riverwoods IL
Domino's Pizza,Main,Contact,Media Director,https://www.dominos.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Ann Arbor MI
Ferrero,Main,Contact,Media Director,https://www.ferrero.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Alba
Ford,Main,Contact,Media Director,https://www.ford.com,AUTOMOTIVE,MEGA_5000_PLUS,Dearborn MI
Foundation to Combat Antisemitism,Main,Contact,Media Director,https://www.fcas.org,EDUCATION,MEDIUM_51_200,New York NY
InterContinental Hotels,Main,Contact,Media Director,https://www.ihg.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Denham
John Deere,Main,Contact,Media Director,https://www.deere.com,AUTOMOTIVE,MEGA_5000_PLUS,Moline IL
Lincoln (Auto),Main,Contact,Media Director,https://www.lincoln.com,AUTOMOTIVE,MEGA_5000_PLUS,Dearborn MI
Mars,Main,Contact,Media Director,https://www.mars.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,McLean VA
Mazda,Main,Contact,Media Director,https://www.mazda.com,AUTOMOTIVE,MEGA_5000_PLUS,Hiroshima
Mizkan,Main,Contact,Media Director,https://www.mizkan.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Tokyo
Nestle,Main,Contact,Media Director,https://www.nestle.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Vevey
PVH Corporation,Main,Contact,Media Director,https://www.pvh.com,FASHION_BEAUTY,MEGA_5000_PLUS,New York NY
TJX Companies,Main,Contact,Media Director,https://www.tjx.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Framingham MA
Uipath,Main,Contact,Media Director,https://www.uipath.com,TECHNOLOGY,MEGA_5000_PLUS,New York NY
Unilever,Main,Contact,Media Director,https://www.unilever.com,CPG_PERSONAL_CARE,MEGA_5000_PLUS,London
USMC,Main,Contact,Media Director,https://www.marines.mil,TECHNOLOGY,MEGA_5000_PLUS,Quantico VA
