companyName,companyType,industry,website,city,state,country,parentCompanyName
Omnicom Group,MEDIA_HOLDING_COMPANY,Advertising & Marketing,https://www.omnicomgroup.com,New York,NY,US,
Omnicom Media Group,AGENCY,Media Services,https://www.omnicommediagroup.com,New York,NY,US,Omnicom Group
Beauty Co-Lab,AGENCY,Beauty Marketing,https://www.beautycolab.com,New York,NY,US,Omnicom Group
Jump 450,AGENCY,Media Planning & Buying,https://www.jump450.com,New York,NY,US,Omnicom Group
Omnicom Media Group Chicago,AGENCY,Media Services,https://www.omnicommediagroup.com,Chicago,IL,US,Omnicom Group
Omnicom Media Group LA,AGENCY,Media Services,https://www.omnicommediagroup.com,Los Angeles,CA,US,Omnicom Group
Omnicom Media Group Latam,AGENCY,Media Services,https://www.omnicommediagroup.com,Miami,FL,US,Omnicom Group
Omnicom Media Group Montreal,AGENCY,Media Services,https://www.omnicommediagroup.com,Montreal,,Canada,Omnicom Group
Omnicom Media Group NY,AGENCY,Media Services,https://www.omnicommediagroup.com,New York,NY,US,Omnicom Group
Omnicom Media Group SF,AGENCY,Media Services,https://www.omnicommediagroup.com,San Francisco,CA,US,Omnicom Group
Omnicom Media Group Toronto,AGENCY,Media Services,https://www.omnicommediagroup.com,Toronto,,Canada,Omnicom Group
Omnicom Media Group UK,AGENCY,Media Services,https://www.omnicommediagroup.com,London,,United Kingdom,Omnicom Group
OMD,AGENCY,Media Planning & Buying,https://www.omd.com,New York,NY,US,Omnicom Group
OMD Adelaide,AGENCY,Media Planning & Buying,https://www.omd.com,Adelaide,,Australia,Omnicom Group
OMD Atlanta,AGENCY,Media Planning & Buying,https://www.omd.com,Atlanta,GA,US,Omnicom Group
OMD Bogota,AGENCY,Media Planning & Buying,https://www.omd.com,Bogota,,Colombia,Omnicom Group
OMD Brisbane,AGENCY,Media Planning & Buying,https://www.omd.com,Brisbane,,Australia,Omnicom Group
OMD Charlotte,AGENCY,Media Planning & Buying,https://www.omd.com,Charlotte,NC,US,Omnicom Group
OMD Chicago,AGENCY,Media Planning & Buying,https://www.omd.com,Chicago,IL,US,Omnicom Group
OMD Dallas,AGENCY,Media Planning & Buying,https://www.omd.com,Dallas,TX,US,Omnicom Group
OMD Dubai,AGENCY,Media Planning & Buying,https://www.omd.com,Dubai,,United Arab Emirates,Omnicom Group
OMD Hartford,AGENCY,Media Planning & Buying,https://www.omd.com,Hartford,CT,US,Omnicom Group
OMD Ireland,AGENCY,Media Planning & Buying,https://www.omd.com,Dublin,,Ireland,Omnicom Group
OMD Istanbul,AGENCY,Media Planning & Buying,https://www.omd.com,Istanbul,,Turkey,Omnicom Group
OMD LA,AGENCY,Media Planning & Buying,https://www.omd.com,Los Angeles,CA,US,Omnicom Group
OMD LATAM,AGENCY,Media Planning & Buying,https://www.omd.com,Miami,FL,US,Omnicom Group
OMD Melbourne,AGENCY,Media Planning & Buying,https://www.omd.com,Melbourne,,Australia,Omnicom Group
OMD Montreal,AGENCY,Media Planning & Buying,https://www.omd.com,Montreal,,Canada,Omnicom Group
OMD Nashville,AGENCY,Media Planning & Buying,https://www.omd.com,Nashville,TN,US,Omnicom Group
OMD NY,AGENCY,Media Planning & Buying,https://www.omd.com,New York,NY,US,Omnicom Group
OMD Perth,AGENCY,Media Planning & Buying,https://www.omd.com,Perth,,Australia,Omnicom Group
OMD Seattle,AGENCY,Media Planning & Buying,https://www.omd.com,Seattle,WA,US,Omnicom Group
OMD SF,AGENCY,Media Planning & Buying,https://www.omd.com,San Francisco,CA,US,Omnicom Group
OMD Shanghai,AGENCY,Media Planning & Buying,https://www.omd.com,Shanghai,,China,Omnicom Group
OMD Singapore,AGENCY,Media Planning & Buying,https://www.omd.com,Singapore,,Singapore,Omnicom Group
OMD Sydney,AGENCY,Media Planning & Buying,https://www.omd.com,Sydney,,Australia,Omnicom Group
OMD Toronto,AGENCY,Media Planning & Buying,https://www.omd.com,Toronto,,Canada,Omnicom Group
OMD UK,AGENCY,Media Planning & Buying,https://www.omd.com,London,,United Kingdom,Omnicom Group
OMD Vancouver,AGENCY,Media Planning & Buying,https://www.omd.com,Vancouver,,Canada,Omnicom Group
Zero Code,AGENCY,Performance Marketing,https://www.zerocode.com,New York,NY,US,Omnicom Group
Hearts & Science,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,New York,NY,US,Omnicom Group
Hearts & Science Atlanta,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,Atlanta,GA,US,Omnicom Group
Hearts & Science Bogota,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,Bogota,,Colombia,Omnicom Group
Hearts & Science Burbank,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,Burbank,CA,US,Omnicom Group
Hearts & Science Charlotte,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,Charlotte,NC,US,Omnicom Group
Hearts & Science Dallas,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,Dallas,TX,US,Omnicom Group
Hearts & Science LA,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,Los Angeles,CA,US,Omnicom Group
Hearts & Science London,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,London,,United Kingdom,Omnicom Group
Hearts & Science Miami,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,Miami,FL,US,Omnicom Group
Hearts & Science NY,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,New York,NY,US,Omnicom Group
Hearts & Science Puerto Rico,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,San Juan,,Puerto Rico,Omnicom Group
Hearts & Science Sydney,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,Sydney,,Australia,Omnicom Group
Hearts & Science Toronto,AGENCY,Media Planning & Buying,https://www.heartsandscience.com,Toronto,,Canada,Omnicom Group
PHD Media,AGENCY,Media Planning & Buying,https://www.phdmedia.com,New York,NY,US,Omnicom Group
PHD Atlanta,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Atlanta,GA,US,Omnicom Group
PHD Auckland,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Auckland,,New Zealand,Omnicom Group
PHD Bogota,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Bogota,,Colombia,Omnicom Group
PHD Charlotte,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Charlotte,NC,US,Omnicom Group
PHD Chicago,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Chicago,IL,US,Omnicom Group
PHD Detroit,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Detroit,MI,US,Omnicom Group
PHD Frankfurt,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Frankfurt,,Germany,Omnicom Group
PHD LA,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Los Angeles,CA,US,Omnicom Group
PHD Melbourne,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Melbourne,,Australia,Omnicom Group
PHD Miami,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Miami,FL,US,Omnicom Group
PHD Montreal,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Montreal,,Canada,Omnicom Group
PHD NY,AGENCY,Media Planning & Buying,https://www.phdmedia.com,New York,NY,US,Omnicom Group
PHD Raleigh,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Raleigh,NC,US,Omnicom Group
PHD Seattle,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Seattle,WA,US,Omnicom Group
PHD SF,AGENCY,Media Planning & Buying,https://www.phdmedia.com,San Francisco,CA,US,Omnicom Group
PHD Singapore,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Singapore,,Singapore,Omnicom Group
PHD Sydney,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Sydney,,Australia,Omnicom Group
PHD Toronto,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Toronto,,Canada,Omnicom Group
PHD UAE,AGENCY,Media Planning & Buying,https://www.phdmedia.com,Dubai,,United Arab Emirates,Omnicom Group
PHD UK,AGENCY,Media Planning & Buying,https://www.phdmedia.com,London,,United Kingdom,Omnicom Group
OMG23,AGENCY,Media Planning & Buying,https://www.omg23.com,New York,NY,US,Omnicom Group
OMG23 Burbank,AGENCY,Media Planning & Buying,https://www.omg23.com,Burbank,CA,US,Omnicom Group
OMG23 NY,AGENCY,Media Planning & Buying,https://www.omg23.com,New York,NY,US,Omnicom Group
OMG23 Toronto,AGENCY,Media Planning & Buying,https://www.omg23.com,Toronto,,Canada,Omnicom Group
GSD&M,AGENCY,Advertising & Marketing,https://www.gsdm.com,Austin,TX,US,Omnicom Group
GSD&M Austin,AGENCY,Advertising & Marketing,https://www.gsdm.com,Austin,TX,US,Omnicom Group
GSD&M Chicago,AGENCY,Advertising & Marketing,https://www.gsdm.com,Chicago,IL,US,Omnicom Group
