companyName,companyType,industry,website,city,state,country,parentCompanyName
Publicis Groupe,MEDIA_HOLDING_COMPANY,Advertising & Marketing,https://www.publicisgroupe.com,Paris,,France,
Leo Burnett Worldwide,AGENCY,Advertising & Marketing,https://www.leoburnett.com,Chicago,IL,US,Publicis Groupe
Leo Burnett Chicago,AGENCY,Advertising & Marketing,https://www.leoburnett.com,Chicago,IL,US,Publicis Groupe
Leo Burnett Detroit,AGENCY,Advertising & Marketing,https://www.leoburnett.com,Detroit,MI,US,Publicis Groupe
Leo Burnett Melbourne,AGENCY,Advertising & Marketing,https://www.leoburnett.com,Melbourne,,Australia,Publicis Groupe
Leo Burnett Sydney,AGENCY,Advertising & Marketing,https://www.leoburnett.com,Sydney,,Australia,Publicis Groupe
Leo Burnett Toronto,AGENCY,Advertising & Marketing,https://www.leoburnett.com,Toronto,,Canada,Publicis Groupe
Leo Burnett UK,AGENCY,Advertising & Marketing,https://www.leoburnett.com,London,,United Kingdom,Publicis Groupe
Bartle Bogle Hegarty,AGENCY,Advertising & Marketing,https://www.bartleboglehegarty.com,New York,NY,US,Publicis Groupe
BBH LA,AGENCY,Advertising & Marketing,https://www.bartleboglehegarty.com,Los Angeles,CA,US,Publicis Groupe
BBH NY,AGENCY,Advertising & Marketing,https://www.bartleboglehegarty.com,New York,NY,US,Publicis Groupe
BBH UK,AGENCY,Advertising & Marketing,https://www.bartleboglehegarty.com,London,,United Kingdom,Publicis Groupe
Zenith,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,New York,NY,US,Publicis Groupe
Zenith Atlanta,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Atlanta,GA,US,Publicis Groupe
Zenith Chicago,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Chicago,IL,US,Publicis Groupe
Zenith Denver,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Denver,CO,US,Publicis Groupe
Zenith Detroit,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Detroit,MI,US,Publicis Groupe
Zenith Hong Kong,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Hong Kong,,Hong Kong,Publicis Groupe
Zenith Houston,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Houston,TX,US,Publicis Groupe
Zenith LA,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Los Angeles,CA,US,Publicis Groupe
Zenith Melbourne,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Melbourne,,Australia,Publicis Groupe
Zenith Mexico City,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Mexico City,,Mexico,Publicis Groupe
Zenith Montreal,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Montreal,,Canada,Publicis Groupe
Zenith NY,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,New York,NY,US,Publicis Groupe
Zenith Portland,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Portland,OR,US,Publicis Groupe
Zenith Seattle,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Seattle,WA,US,Publicis Groupe
Zenith SF,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,San Francisco,CA,US,Publicis Groupe
Zenith Singapore,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Singapore,,Singapore,Publicis Groupe
Zenith Sydney,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Sydney,,Australia,Publicis Groupe
Zenith Toronto,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,Toronto,,Canada,Publicis Groupe
Zenith UK,AGENCY,Media Planning & Buying,https://www.zenithmedia.com,London,,United Kingdom,Publicis Groupe
Publicis Collective,AGENCY,Advertising & Marketing,https://www.publiciscollective.com,New York,NY,US,Publicis Groupe
Publicis Collective Baltimore,AGENCY,Advertising & Marketing,https://www.publiciscollective.com,Baltimore,MD,US,Publicis Groupe
Publicis Collective Chicago,AGENCY,Advertising & Marketing,https://www.publiciscollective.com,Chicago,IL,US,Publicis Groupe
Publicis Collective Detroit,AGENCY,Advertising & Marketing,https://www.publiciscollective.com,Detroit,MI,US,Publicis Groupe
Publicis Collective NY,AGENCY,Advertising & Marketing,https://www.publiciscollective.com,New York,NY,US,Publicis Groupe
Publicis Health Media,AGENCY,Healthcare Marketing,https://www.publicishealthmedia.com,New York,NY,US,Publicis Groupe
Publicis Health Media Chicago,AGENCY,Healthcare Marketing,https://www.publicishealthmedia.com,Chicago,IL,US,Publicis Groupe
Publicis Health Media LA,AGENCY,Healthcare Marketing,https://www.publicishealthmedia.com,Los Angeles,CA,US,Publicis Groupe
Publicis Health Media London,AGENCY,Healthcare Marketing,https://www.publicishealthmedia.com,London,,United Kingdom,Publicis Groupe
Publicis Health Media NY,AGENCY,Healthcare Marketing,https://www.publicishealthmedia.com,New York,NY,US,Publicis Groupe
Publicis Health Media Philadelphia,AGENCY,Healthcare Marketing,https://www.publicishealthmedia.com,Philadelphia,PA,US,Publicis Groupe
Spark Foundry,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,New York,NY,US,Publicis Groupe
Spark Foundry Atlanta,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Atlanta,GA,US,Publicis Groupe
Spark Foundry Auckland,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Auckland,,New Zealand,Publicis Groupe
Spark Foundry Bengaluru,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Bengaluru,,India,Publicis Groupe
Spark Foundry Bogota,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Bogota,,Colombia,Publicis Groupe
Spark Foundry Chicago,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Chicago,IL,US,Publicis Groupe
Spark Foundry Costa Rica,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,San Jose,,Costa Rica,Publicis Groupe
Spark Foundry Dallas,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Dallas,TX,US,Publicis Groupe
Spark Foundry Detroit,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Detroit,MI,US,Publicis Groupe
Spark Foundry Dubai,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Dubai,,United Arab Emirates,Publicis Groupe
Spark Foundry Dublin,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Dublin,,Ireland,Publicis Groupe
Spark Foundry LA,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Los Angeles,CA,US,Publicis Groupe
Spark Foundry Melbourne,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Melbourne,,Australia,Publicis Groupe
Spark Foundry Montreal,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Montreal,,Canada,Publicis Groupe
Spark Foundry NY,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,New York,NY,US,Publicis Groupe
Spark Foundry Seattle,AGENCY,Media Planning & Buying,https://www.sparkfoundryglobal.com,Seattle,WA,US,Publicis Groupe
