companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Publicis Health Media Chicago,Agency,Contact,Managing Director,https://www.publicishealthmedia.com,ENTERTAINMENT_MEDIA,ENTERPRISE_1001_5000,Chicago IL
AbbVie,Main,Contact,Media Director,https://www.abbvie.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,North Chicago IL
Alkermes,Main,Contact,Media Director,https://www.alkermes.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,Dublin
Allergan Aesthetics,Main,Contact,Media Director,https://www.allerganaesthetics.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Dublin
Amgen,Main,Contact,Media Director,https://www.amgen.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Thousand Oaks CA
Astellas,Main,Contact,Media Director,https://www.astellas.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Tokyo
Avanir Pharmaceuticals,Main,Contact,Media Director,https://www.avanir.com,HEALTHCARE_PHARMA,LARGE_201_1000,Aliso Viejo CA
Biogen,Main,Contact,Media Director,https://www.biogen.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Cambridge MA
Cigna,Main,Contact,Media Director,https://www.cigna.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Bloomfield CT
Eisai Pharmaceuticals,Main,Contact,Media Director,https://www.eisai.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Tokyo
GlaxoSmithKline,Main,Contact,Media Director,https://www.gsk.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,London
HCA Healthcare,Main,Contact,Media Director,https://www.hcahealthcare.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Nashville TN
Kyowa Kirin,Main,Contact,Media Director,https://www.kyowakirin.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Tokyo
Novartis,Main,Contact,Media Director,https://www.novartis.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Basel
Organon,Main,Contact,Media Director,https://www.organon.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Jersey City NJ
Pfizer,Main,Contact,Media Director,https://www.pfizer.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,New York NY
Piedmont Healthcare,Main,Contact,Media Director,https://www.piedmont.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Atlanta GA
Summit Health,Main,Contact,Media Director,https://www.summitmedicalgroup.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Berkeley Heights NJ
Supernus,Main,Contact,Media Director,https://www.supernus.com,HEALTHCARE_PHARMA,LARGE_201_1000,Rockville MD
Takeda,Main,Contact,Media Director,https://www.takeda.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Tokyo
UCB,Main,Contact,Media Director,https://www.ucb.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Brussels
