companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Publicis Media Chicago,Agency,Contact,Managing Director,https://www.publicismedia.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Chicago IL
AB InBev,Main,Contact,Media Director,https://www.ab-inbev.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Leuven
Abbott Labs,Main,Contact,Media Director,https://www.abbott.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Chicago IL
Alcon,Main,Contact,Media Director,https://www.alcon.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Geneva
Aldi,Main,Contact,Media Director,https://www.aldi.us,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Batavia IL
Align Technology,Main,Contact,Media Director,https://www.aligntech.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,San Jose CA
Allstate,Main,Contact,Media Director,https://www.allstate.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Northbrook IL
American Family Insurance,Main,Contact,Media Director,https://www.amfam.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Madison WI
AutoZone,Main,Contact,Media Director,https://www.autozone.com,AUTOMOTIVE,MEGA_5000_PLUS,Memphis TN
Bank of America,Main,Contact,Media Director,https://www.bankofamerica.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Charlotte NC
Barilla,Main,Contact,Media Director,https://www.barilla.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Parma
Beam Suntory,Main,Contact,Media Director,https://www.beamsuntory.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Bel Brands,Main,Contact,Media Director,https://www.belbrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Paris
Best Buy Health,Main,Contact,Media Director,https://www.bestbuy.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Richfield MN
Blue Diamond Growers,Main,Contact,Media Director,https://www.bluediamond.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Sacramento CA
Brown-Forman,Main,Contact,Media Director,https://www.brown-forman.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Louisville KY
Cars.com,Main,Contact,Media Director,https://www.cars.com,TECHNOLOGY,ENTERPRISE_1001_5000,Chicago IL
CELSIUS,Main,Contact,Media Director,https://www.celsiusdrinks.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Boca Raton FL
Chick-fil-A,Main,Contact,Media Director,https://www.chick-fil-a.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Coca-Cola,Main,Contact,Media Director,https://www.coca-cola.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
ConAgra,Main,Contact,Media Director,https://www.conagrabrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
CSL,Main,Contact,Media Director,https://www.csl.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Melbourne
Dairy Queen,Main,Contact,Media Director,https://www.dairyqueen.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Minneapolis MN
Daisy Brand,Main,Contact,Media Director,https://www.daisybrand.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Dallas TX
DirecTV,Main,Contact,Media Director,https://www.directv.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,El Segundo CA
Disney,Main,Contact,Media Director,https://www.disney.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Burbank CA
Dream Games,Main,Contact,Media Director,https://www.dreamgames.com,ENTERTAINMENT_MEDIA,LARGE_201_1000,Istanbul
Dunkin' Brands,Main,Contact,Media Director,https://www.dunkinbrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Canton MA
Eli Lilly,Main,Contact,Media Director,https://www.lilly.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Indianapolis IN
Enbridge,Main,Contact,Media Director,https://www.enbridge.com,AUTOMOTIVE,MEGA_5000_PLUS,Calgary
EssilorLuxottica,Main,Contact,Media Director,https://www.essilorluxottica.com,FASHION_BEAUTY,MEGA_5000_PLUS,Paris
Facebook,Main,Contact,Media Director,https://www.facebook.com,TECHNOLOGY,MEGA_5000_PLUS,Menlo Park CA
Fiat,Main,Contact,Media Director,https://www.fiat.com,AUTOMOTIVE,MEGA_5000_PLUS,Turin
Frontier Communications,Main,Contact,Media Director,https://www.frontier.com,TELECOM,MEGA_5000_PLUS,Dallas TX
General Motors,Main,Contact,Media Director,https://www.gm.com,AUTOMOTIVE,MEGA_5000_PLUS,Detroit MI
GLR,Main,Contact,Media Director,https://www.glr.com,REAL_ESTATE,MEDIUM_51_200,Chicago IL
Goodyear,Main,Contact,Media Director,https://www.goodyear.com,AUTOMOTIVE,MEGA_5000_PLUS,Akron OH
Harbor Freight Tools,Main,Contact,Media Director,https://www.harborfreight.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Calabasas CA
HEB Grocery,Main,Contact,Media Director,https://www.heb.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,San Antonio TX
Hershey,Main,Contact,Media Director,https://www.thehersheycompany.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Hershey PA
Humana,Main,Contact,Media Director,https://www.humana.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Louisville KY
Inspire Brands,Main,Contact,Media Director,https://www.inspirebrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Jeep,Main,Contact,Media Director,https://www.jeep.com,AUTOMOTIVE,MEGA_5000_PLUS,Toledo OH
Kao Brands,Main,Contact,Media Director,https://www.kao.com,CPG_PERSONAL_CARE,MEGA_5000_PLUS,Tokyo
KB Home,Main,Contact,Media Director,https://www.kbhome.com,REAL_ESTATE,MEGA_5000_PLUS,Los Angeles CA
Kellanova,Main,Contact,Media Director,https://www.kellanova.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Kentucky Fried Chicken,Main,Contact,Media Director,https://www.kfc.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Louisville KY
Keurig Dr Pepper Inc.,Main,Contact,Media Director,https://www.keurigdrpepper.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Burlington MA
Kimberly-Clark,Main,Contact,Media Director,https://www.kimberly-clark.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Irving TX
Lactalis,Main,Contact,Media Director,https://www.lactalis.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Laval
Lego,Main,Contact,Media Director,https://www.lego.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Billund
Lowe's,Main,Contact,Media Director,https://www.lowes.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Mooresville NC
Macy's,Main,Contact,Media Director,https://www.macys.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,New York NY
