companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Publicis Media NY,Agency,Contact,Managing Director,https://www.publicismedia.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
AB InBev,Main,Contact,Media Director,https://www.ab-inbev.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Leuven
AbbVie,Main,Contact,Media Director,https://www.abbvie.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,North Chicago IL
Aflac,Main,Contact,Media Director,https://www.aflac.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Columbus GA
Altice,Main,Contact,Media Director,https://www.alticeusa.com,TELECOM,MEGA_5000_PLUS,New York NY
Arby's,Main,Contact,Media Director,https://www.arbys.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Astellas,Main,Contact,Media Director,https://www.astellas.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Tokyo
Bank of America,Main,Contact,Media Director,https://www.bankofamerica.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Charlotte NC
Bath & Body Works,Main,Contact,Media Director,https://www.bathandbodyworks.com,FASHION_BEAUTY,MEGA_5000_PLUS,Columbus OH
Best Buy,Main,Contact,Media Director,https://www.bestbuy.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Richfield MN
Best Buy Health,Main,Contact,Media Director,https://www.bestbuy.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Richfield MN
Brown-Forman,Main,Contact,Media Director,https://www.brown-forman.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Louisville KY
Buffalo Wild Wings,Main,Contact,Media Director,https://www.buffalowildwings.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
ByteDance.com,Main,Contact,Media Director,https://www.bytedance.com,TECHNOLOGY,MEGA_5000_PLUS,Beijing
Cadillac,Main,Contact,Media Director,https://www.cadillac.com,AUTOMOTIVE,MEGA_5000_PLUS,Detroit MI
Campbell Soup,Main,Contact,Media Director,https://www.campbellsoupcompany.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Camden NJ
CarFax,Main,Contact,Media Director,https://www.carfax.com,AUTOMOTIVE,ENTERPRISE_1001_5000,Centreville VA
CarMax,Main,Contact,Media Director,https://www.carmax.com,AUTOMOTIVE,MEGA_5000_PLUS,Richmond VA
Cars.com,Main,Contact,Media Director,https://www.cars.com,TECHNOLOGY,ENTERPRISE_1001_5000,Chicago IL
Chevrolet,Main,Contact,Media Director,https://www.chevrolet.com,AUTOMOTIVE,MEGA_5000_PLUS,Detroit MI
Citigroup,Main,Contact,Media Director,https://www.citigroup.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,New York NY
CityMD,Main,Contact,Media Director,https://www.citymd.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,New York NY
Coca-Cola,Main,Contact,Media Director,https://www.coca-cola.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Comcast,Main,Contact,Media Director,https://www.comcast.com,TELECOM,MEGA_5000_PLUS,Philadelphia PA
Coty,Main,Contact,Media Director,https://www.coty.com,FASHION_BEAUTY,MEGA_5000_PLUS,New York NY
Dick's Sporting Goods,Main,Contact,Media Director,https://www.dickssportinggoods.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Coraopolis PA
Disney,Main,Contact,Media Director,https://www.disney.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Burbank CA
Dropbox,Main,Contact,Media Director,https://www.dropbox.com,TECHNOLOGY,ENTERPRISE_1001_5000,San Francisco CA
Duluth Trading Company,Main,Contact,Media Director,https://www.duluthtrading.com,RETAIL_ECOMMERCE,ENTERPRISE_1001_5000,Mount Horeb WI
Dunkin' Brands,Main,Contact,Media Director,https://www.dunkinbrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Canton MA
Edrington,Main,Contact,Media Director,https://www.edrington.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Glasgow
Eli Lilly,Main,Contact,Media Director,https://www.lilly.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Indianapolis IN
Enbridge,Main,Contact,Media Director,https://www.enbridge.com,AUTOMOTIVE,MEGA_5000_PLUS,Calgary
EssilorLuxottica,Main,Contact,Media Director,https://www.essilorluxottica.com,FASHION_BEAUTY,MEGA_5000_PLUS,Paris
Facebook,Main,Contact,Media Director,https://www.facebook.com,TECHNOLOGY,MEGA_5000_PLUS,Menlo Park CA
