companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Starcom Chicago,Agency,Contact,Managing Director,https://www.starcomww.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Chicago IL
1st Phorm International,Main,Contact,Media Director,https://www.1stphorm.com,HEALTHCARE_PHARMA,LARGE_201_1000,St. Louis MO
AB InBev,Main,Contact,Media Director,https://www.ab-inbev.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Leuven
Abbott Labs,Main,Contact,Media Director,https://www.abbott.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Chicago IL
Ace Hardware,Main,Contact,Media Director,https://www.acehardware.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Oak Brook IL
Alcon,Main,Contact,Media Director,https://www.alcon.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Geneva
Aldi,Main,Contact,Media Director,https://www.aldi.us,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Batavia IL
Align Technology,Main,Contact,Media Director,https://www.aligntech.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,San Jose CA
Allstate,Main,Contact,Media Director,https://www.allstate.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Northbrook IL
American Egg Board,Main,Contact,Media Director,https://www.incredibleegg.org,CPG_FOOD_BEVERAGE,SMALL_11_50,Park Ridge IL
AutoZone,Main,Contact,Media Director,https://www.autozone.com,AUTOMOTIVE,MEGA_5000_PLUS,Memphis TN
Bank of America,Main,Contact,Media Director,https://www.bankofamerica.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Charlotte NC
Beam Suntory,Main,Contact,Media Director,https://www.beamsuntory.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Bedzzz Express,Main,Contact,Media Director,https://www.bedzzzexpress.com,RETAIL_ECOMMERCE,MEDIUM_51_200,Saint Louis MO
Best Buy,Main,Contact,Media Director,https://www.bestbuy.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Richfield MN
Best Buy Health,Main,Contact,Media Director,https://www.bestbuy.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Richfield MN
CosMc's,Main,Contact,Media Director,https://www.cosmcs.com,CPG_FOOD_BEVERAGE,SMALL_11_50,Chicago IL
Direct Auto Insurance,Main,Contact,Media Director,https://www.directauto.com,FINANCIAL_SERVICES,LARGE_201_1000,Nashville TN
DirecTV,Main,Contact,Media Director,https://www.directv.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,El Segundo CA
Disney,Main,Contact,Media Director,https://www.disney.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Burbank CA
Enbridge,Main,Contact,Media Director,https://www.enbridge.com,AUTOMOTIVE,MEGA_5000_PLUS,Calgary
Ericsson,Main,Contact,Media Director,https://www.ericsson.com,TECHNOLOGY,MEGA_5000_PLUS,Stockholm
EssilorLuxottica,Main,Contact,Media Director,https://www.essilorluxottica.com,FASHION_BEAUTY,MEGA_5000_PLUS,Paris
Ferraro Foods,Main,Contact,Media Director,https://www.ferrarofoods.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Chicago IL
Four Seasons Resorts,Main,Contact,Media Director,https://www.fourseasons.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Toronto
Frontier Communications,Main,Contact,Media Director,https://www.frontier.com,TELECOM,MEGA_5000_PLUS,Dallas TX
goPuff,Main,Contact,Media Director,https://www.gopuff.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Philadelphia PA
HCA Healthcare,Main,Contact,Media Director,https://www.hcahealthcare.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Nashville TN
Hershey,Main,Contact,Media Director,https://www.thehersheycompany.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Hershey PA
Jefferson State Community College,Main,Contact,Media Director,https://www.jeffersonstate.edu,EDUCATION,LARGE_201_1000,Birmingham AL
Kellanova,Main,Contact,Media Director,https://www.kellanova.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Kimberly-Clark,Main,Contact,Media Director,https://www.kimberly-clark.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Irving TX
Lego,Main,Contact,Media Director,https://www.lego.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Billund
Mars,Main,Contact,Media Director,https://www.mars.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,McLean VA
McDonald's,Main,Contact,Media Director,https://www.mcdonalds.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Molson Coors Beverage Company,Main,Contact,Media Director,https://www.molsoncoors.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Nestle,Main,Contact,Media Director,https://www.nestle.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Vevey
Novartis,Main,Contact,Media Director,https://www.novartis.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Basel
