companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Starcom NY,Agency,Contact,Managing Director,https://www.starcomww.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
AB InBev,Main,Contact,Media Director,https://www.ab-inbev.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Leuven
Aldi,Main,Contact,Media Director,https://www.aldi.us,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Batavia IL
Align Technology,Main,Contact,Media Director,https://www.aligntech.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,San Jose CA
Allstate,Main,Contact,Media Director,https://www.allstate.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Northbrook IL
Beam Suntory,Main,Contact,Media Director,https://www.beamsuntory.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
BeatBox Beverages,Main,Contact,Media Director,https://www.beatboxbeverages.com,CPG_FOOD_BEVERAGE,MEDIUM_51_200,Austin TX
Best Buy,Main,Contact,Media Director,https://www.bestbuy.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Richfield MN
Constellation Brands,Main,Contact,Media Director,https://www.cbrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Victor NY
DirecTV,Main,Contact,Media Director,https://www.directv.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,El Segundo CA
Disney,Main,Contact,Media Director,https://www.disney.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Burbank CA
EssilorLuxottica,Main,Contact,Media Director,https://www.essilorluxottica.com,FASHION_BEAUTY,MEGA_5000_PLUS,Paris
Frontier Communications,Main,Contact,Media Director,https://www.frontier.com,TELECOM,MEGA_5000_PLUS,Dallas TX
Haleon,Main,Contact,Media Director,https://www.haleon.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,London
Kellanova,Main,Contact,Media Director,https://www.kellanova.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Lego,Main,Contact,Media Director,https://www.lego.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Billund
Lindt & Sprungli,Main,Contact,Media Director,https://www.lindt.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Zurich
Mars,Main,Contact,Media Director,https://www.mars.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,McLean VA
McDonald's,Main,Contact,Media Director,https://www.mcdonalds.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Chicago IL
Novartis,Main,Contact,Media Director,https://www.novartis.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Basel
Optimum Telecom,Main,Contact,Media Director,https://www.optimum.com,TELECOM,MEGA_5000_PLUS,Bethpage NY
Pernod Ricard,Main,Contact,Media Director,https://www.pernod-ricard.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Paris
Puig,Main,Contact,Media Director,https://www.puig.com,FASHION_BEAUTY,MEGA_5000_PLUS,Barcelona
Samsung,Main,Contact,Media Director,https://www.samsung.com,TECHNOLOGY,MEGA_5000_PLUS,Seoul
Sandals Resorts,Main,Contact,Media Director,https://www.sandals.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Montego Bay
Swedish Match,Main,Contact,Media Director,https://www.swedishmatch.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Stockholm
Visa,Main,Contact,Media Director,https://www.visa.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,San Francisco CA
Warner Bros. Discovery,Main,Contact,Media Director,https://www.wbd.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
