Advertiser Name,Partnership Count
"-800-Flowers",3
"ADT",3
"AMC Theaters",3
"Academy Sports & Outdoors",3
"Acura",3
"Adtalem Global Education",3
"Aer Lingus",3
"Akamai",3
"Alo Yoga",3
"Alzheimer's Association",3
"American Express",3
"Arizona Tourism",3
"Aruba Tourism",3
"Asahi",3
"Ascension",3
"Athletic Greens",3
"Authentic Brands Group",3
"AutoNation",3
"AutoZone",3
"Autodesk",3
"Avis Budget",3
"Away",3
"B&G Foods",3
"Bass Pro Shops",3
"Bath & Body Works",3
"Bavarian Nordic",3
"Benjamin Moore",3
"Bermuda Tourism",3
"BetMGM",3
"BioMarin Pharmaceutical",3
"Bissell",3
"BlackRock",3
"Bloomberg Philanthropies",3
"Bloomin' Brands",3
"Blue Diamond Growers",3
"Bobcat Company",3
"Boston Tourism",3
"Bread Financial",3
"Brex",3
"Bridgestone",3
"Buff City Soap",3
"Burberry",3
"CELSIUS",3
"CKE Restaurants",3
"California Lottery",3
"California State",3
"California Tourism",3
"Camuto Group",3
"Canada Goose",3
"Cancer Treatment Centers",3
"Canva",3
"Capital Group Companies",3
"CarMax",3
"Cargill",3
"Carhartt",3
"Carl's Jr",3
"Cathay Pacific",3
"Chicago Tourism",3
"Chipotle",3
"Coinbase",3
"Cole Haan",3
"Colorado Tourism",3
"Con Edison",3
"Connecticut Tourism",3
"Corteva Agriscience",3
"Crate & Barrel",3
"Crunch Fitness",3
"Dallas Tourism",3
"Danone",3
"David Yurman",3
"David's Bridal",3
"De Beers",3
"De'Longhi",3
"Del Monte",3
"Del Taco",3
"Denny's",3
"Dietz & Watson",3
"Discount Tire",3
"Dolby",3
"Dow Jones",3
"Drunk Elephant",3
"Dunkin' Brands",3
"Duolingo",3
"Dutch Bros Coffee",3
"Early Warning Services",3
"Earnest",3
"Egglife Foods",3
"Empower Retirement",3
"Ent Federal Credit Union",3
"Exact Sciences",3
"Exelon",3
"FEMA",3
"FIFA",3
"Fairlife",3
"Firehouse Subs",3
"Fitbit",3
"Fort Lauderdale Tourism",3
"Freddy's Frozen Custard & Steakburgers",3
"FreshDirect",3
"FreshPet",3
"Frontdoor",3
"G-III Apparel Group",3
"GE Appliances",3
"GEICO",3
"Glanbia Performance Nutrition",3
"H & R Block",3
"HP Hood",3
"Hackensack Meridian Health",3
"Hallmark Cards, Inc.",3
"HanesBrands",3
"Haribo",3
"Harvest Hill Beverage Company",3
"Henry Ford Health Systems",3
"Hilton Hotels",3
"Hobby Lobby",3
"Honey Baked Ham Company",3
"Huntington National Bank",3
"Hy-Vee",3
"INTERAC",3
"Impossible Foods",3
"Interstate Batteries",3
"J&J Snack Foods",3
"Jazz Pharmaceuticals",3
"JetBlue",3
"JobsOhio",3
"Joe Biden For President",3
"John Deere",3
"Kao Brands",3
"Kering",3
"King's Hawaiian",3
"Kraft Heinz Company",3
"LA Metro",3
"Lamb Weston",3
"Land O'Lakes",3
"Lego",3
"Liberty Mutual",3
"Lionsgate",3
"Lufthansa",3
"Lundbeck",3
"MTD Products",3
"Maine Tourism",3
"Mariner Wealth",3
"Maryland Lottery",3
"Maserati",3
"Mayo Clinic",3
"Memorial Sloan Kettering",3
"Meshki",3
"Miami Tourism",3
"Michael Kors",3
"Michelin",3
"Missouri Lottery",3
"Mizkan",3
"Mount Sinai Health System",3
"Myrtle Beach Tourism",3
"NFL",3
"National Grid",3
"National Vision",3
"Nationwide",3
"Nebraska Tourism",3
"Neighborly",3
"Nikon",3
"Noom Inc.",3
"NortonLifeLock",3
"Nutrafol",3
"Olive Garden",3
"Ollie's Bargain Outlet",3
"Omaha Steaks",3
"Omni Hotels",3
"OnePay",3
"Oregon Tourism",3
"Ornua",3
"PACSUN",3
