companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Talon Outdoor NY,Agency,Contact,Managing Director,https://www.talonoutdoor.com,ENTERTAINMENT_MEDIA,LARGE_201_1000,New York NY
Activision Blizzard,Main,Contact,Media Director,https://www.activisionblizzard.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Santa Monica CA
American Signature,Main,Contact,Media Director,https://www.americansignaturefurniture.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Columbus OH
Ascension,Main,Contact,Media Director,https://www.ascension.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,St. Louis MO
Aspen Dental,Main,Contact,Media Director,https://www.aspendental.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,East Syracuse NY
AthenaHealth,Main,Contact,Media Director,https://www.athenahealth.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Watertown MA
Batteries Plus,Main,Contact,Media Director,https://www.batteriesplus.com,RETAIL_ECOMMERCE,ENTERPRISE_1001_5000,Hartland WI
bet365,Main,Contact,Media Director,https://www.bet365.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Stoke-on-Trent
Betty Booze,Main,Contact,Media Director,https://www.bettybooze.com,CPG_FOOD_BEVERAGE,SMALL_11_50,Los Angeles CA
Bumble,Main,Contact,Media Director,https://www.bumble.com,TECHNOLOGY,ENTERPRISE_1001_5000,Austin TX
Caleres,Main,Contact,Media Director,https://www.caleres.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,St. Louis MO
Con Edison,Main,Contact,Media Director,https://www.coned.com,AUTOMOTIVE,MEGA_5000_PLUS,New York NY
De Beers,Main,Contact,Media Director,https://www.debeers.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,London
De'Longhi,Main,Contact,Media Director,https://www.delonghi.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Treviso
Electrolit USA,Main,Contact,Media Director,https://www.electrolit.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Miami FL
Elevance Health,Main,Contact,Media Director,https://www.elevancehealth.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Indianapolis IN
Ermenegildo Zegna,Main,Contact,Media Director,https://www.zegna.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Milan
Fidelity,Main,Contact,Media Director,https://www.fidelity.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Boston MA
Fogo de Chao,Main,Contact,Media Director,https://www.fogodechao.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Dallas TX
Fossil,Main,Contact,Media Director,https://www.fossil.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Richardson TX
Golden Goose,Main,Contact,Media Director,https://www.goldengoose.com,RETAIL_ECOMMERCE,ENTERPRISE_1001_5000,Milan
Goldman Sachs,Main,Contact,Media Director,https://www.goldmansachs.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,New York NY
Gran Coramino,Main,Contact,Media Director,https://www.grancoramino.com,CPG_FOOD_BEVERAGE,SMALL_11_50,Los Angeles CA
Hackensack Meridian Health,Main,Contact,Media Director,https://www.hackensackmeridianhealth.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Edison NJ
Hot Topic,Main,Contact,Media Director,https://www.hottopic.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,City of Industry CA
Hugo Boss,Main,Contact,Media Director,https://www.hugoboss.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Metzingen
Hyatt Hotels,Main,Contact,Media Director,https://www.hyatt.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Chicago IL
ibotta,Main,Contact,Media Director,https://www.ibotta.com,TECHNOLOGY,LARGE_201_1000,Denver CO
InterContinental Hotels,Main,Contact,Media Director,https://www.ihg.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Denham
Island,Main,Contact,Media Director,https://www.island.com,RETAIL_ECOMMERCE,LARGE_201_1000,London
Jack in the Box,Main,Contact,Media Director,https://www.jackinthebox.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,San Diego CA
Jenius Bank,Main,Contact,Media Director,https://www.jeniusbank.com,FINANCIAL_SERVICES,LARGE_201_1000,New York NY
Klarna,Main,Contact,Media Director,https://www.klarna.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Stockholm
Kwik Trip,Main,Contact,Media Director,https://www.kwiktrip.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,La Crosse WI
Lenovo,Main,Contact,Media Director,https://www.lenovo.com,TECHNOLOGY,MEGA_5000_PLUS,Beijing
Longchamp,Main,Contact,Media Director,https://www.longchamp.com,RETAIL_ECOMMERCE,ENTERPRISE_1001_5000,Paris
MGM Studios,Main,Contact,Media Director,https://www.mgm.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Beverly Hills CA
Mighty Soda,Main,Contact,Media Director,https://www.mightysoda.com,CPG_FOOD_BEVERAGE,SMALL_11_50,Los Angeles CA
MilkPEP,Main,Contact,Media Director,https://www.milkpep.org,CPG_FOOD_BEVERAGE,MEDIUM_51_200,Washington DC
Moncler,Main,Contact,Media Director,https://www.moncler.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Milan
Mozilla,Main,Contact,Media Director,https://www.mozilla.org,TECHNOLOGY,LARGE_201_1000,San Francisco CA
National Association of REALTORS,Main,Contact,Media Director,https://www.nar.realtor,CONSTRUCTION_REAL_ESTATE,LARGE_201_1000,Chicago IL
NewYork-Presbyterian Hospital,Main,Contact,Media Director,https://www.nyp.org,HEALTHCARE_PHARMA,MEGA_5000_PLUS,New York NY
Pantalones Organic Tequila,Main,Contact,Media Director,https://www.pantalones.com,CPG_FOOD_BEVERAGE,SMALL_11_50,Los Angeles CA
Pella Corporation,Main,Contact,Media Director,https://www.pella.com,CONSTRUCTION_REAL_ESTATE,MEGA_5000_PLUS,Pella IA
PENN Entertainment,Main,Contact,Media Director,https://www.pennentertainment.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Wyomissing PA
PNC Financial Services,Main,Contact,Media Director,https://www.pnc.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Pittsburgh PA
Poppi,Main,Contact,Media Director,https://www.drinkpoppi.com,CPG_FOOD_BEVERAGE,MEDIUM_51_200,Austin TX
Power to the Patients,Main,Contact,Media Director,https://www.powertothepatients.org,HEALTHCARE_PHARMA,SMALL_11_50,Dallas TX
Pret a Manger,Main,Contact,Media Director,https://www.pret.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,London
Proximo Spirits,Main,Contact,Media Director,https://www.proximospirits.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Jersey City NJ
PUMA Group,Main,Contact,Media Director,https://www.puma.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Herzogenaurach
Shake Shack,Main,Contact,Media Director,https://www.shakeshack.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,New York NY
Shell,Main,Contact,Media Director,https://www.shell.com,AUTOMOTIVE,MEGA_5000_PLUS,London
Shiseido,Main,Contact,Media Director,https://www.shiseido.com,CPG_PERSONAL_CARE,MEGA_5000_PLUS,Tokyo
Simon Property Group,Main,Contact,Media Director,https://www.simon.com,CONSTRUCTION_REAL_ESTATE,MEGA_5000_PLUS,Indianapolis IN
Spencer Gifts,Main,Contact,Media Director,https://www.spencergifts.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Egg Harbor Township NJ
T. Rowe Price,Main,Contact,Media Director,https://www.troweprice.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Baltimore MD
