companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Tinuiti NY,Agency,Contact,Managing Director,https://www.tinuiti.com,ENTERTAINMENT_MEDIA,ENTERPRISE_1001_5000,New York NY
Aeropostale,Main,Contact,Media Director,https://www.aeropostale.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Lyndhurst NJ
Ancestry.com,Main,Contact,Media Director,https://www.ancestry.com,TECHNOLOGY,ENTERPRISE_1001_5000,Lehi UT
Authentic Brands Group,Main,Contact,Media Director,https://www.authenticbrandsgroup.com,FASHION_BEAUTY,LARGE_201_1000,New York NY
Away,Main,Contact,Media Director,https://www.awaytravel.com,RETAIL_ECOMMERCE,MEDIUM_51_200,New York NY
BlueAir,Main,Contact,Media Director,https://www.blueair.com,CPG_HOUSEHOLD,LARGE_201_1000,Stockholm
Brooks Brothers,Main,Contact,Media Director,https://www.brooksbrothers.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,New York NY
BRUNT Workwear,Main,Contact,Media Director,https://www.bruntworkwear.com,FASHION_BEAUTY,SMALL_11_50,Chicago IL
ButcherBox,Main,Contact,Media Director,https://www.butcherbox.com,CPG_FOOD_BEVERAGE,MEDIUM_51_200,Boston MA
Chegg,Main,Contact,Media Director,https://www.chegg.com,EDUCATION,ENTERPRISE_1001_5000,Santa Clara CA
Clorox,Main,Contact,Media Director,https://www.clorox.com,CPG_HOUSEHOLD,MEGA_5000_PLUS,Oakland CA
Clothing Shop Online,Main,Contact,Media Director,https://www.clothingshop.online,FASHION_BEAUTY,SMALL_11_50,London
E.L.F Beauty,Main,Contact,Media Director,https://www.elfcosmetics.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Oakland CA
Eddie Bauer,Main,Contact,Media Director,https://www.eddiebauer.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Seattle WA
Evenflo,Main,Contact,Media Director,https://www.evenflo.com,CPG_HOUSEHOLD,LARGE_201_1000,Miamisburg OH
Figure Technologies,Main,Contact,Media Director,https://www.figure.com,FINANCIAL_SERVICES,ENTERPRISE_1001_5000,San Francisco CA
Frances Valentine,Main,Contact,Media Director,https://www.francesvalentine.com,FASHION_BEAUTY,SMALL_11_50,New York NY
FTD,Main,Contact,Media Director,https://www.ftd.com,RETAIL_ECOMMERCE,LARGE_201_1000,Downers Grove IL
GoodRX,Main,Contact,Media Director,https://www.goodrx.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,Santa Monica CA
Hims & Hers,Main,Contact,Media Director,https://www.hims.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,San Francisco CA
Home Chef,Main,Contact,Media Director,https://www.homechef.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Chicago IL
Hourglass Cosmetics,Main,Contact,Media Director,https://www.hourglasscosmetics.com,FASHION_BEAUTY,MEDIUM_51_200,Los Angeles CA
Instacart,Main,Contact,Media Director,https://www.instacart.com,TECHNOLOGY,MEGA_5000_PLUS,San Francisco CA
JACHS NY,Main,Contact,Media Director,https://www.jachsny.com,FASHION_BEAUTY,SMALL_11_50,New York NY
Keys Soulcare,Main,Contact,Media Director,https://www.keyssoulcare.com,FASHION_BEAUTY,SMALL_11_50,New York NY
Lucky Brand,Main,Contact,Media Director,https://www.luckybrand.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Los Angeles CA
Nutrafol,Main,Contact,Media Director,https://www.nutrafol.com,HEALTHCARE_PHARMA,MEDIUM_51_200,New York NY
Olly PBC,Main,Contact,Media Director,https://www.olly.com,HEALTHCARE_PHARMA,MEDIUM_51_200,San Francisco CA
Onnit Labs,Main,Contact,Media Director,https://www.onnit.com,HEALTHCARE_PHARMA,MEDIUM_51_200,Austin TX
PACSUN,Main,Contact,Media Director,https://www.pacsun.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Anaheim CA
Poppi,Main,Contact,Media Director,https://www.drinkpoppi.com,CPG_FOOD_BEVERAGE,MEDIUM_51_200,Austin TX
Reebok,Main,Contact,Media Director,https://www.reebok.com,FASHION_BEAUTY,MEGA_5000_PLUS,Boston MA
Sleeper,Main,Contact,Media Director,https://www.the-sleeper.com,FASHION_BEAUTY,SMALL_11_50,Kiev
SmartyPants Vitamins,Main,Contact,Media Director,https://www.smartypantsvitamins.com,HEALTHCARE_PHARMA,MEDIUM_51_200,Mill Valley CA
Tatcha,Main,Contact,Media Director,https://www.tatcha.com,FASHION_BEAUTY,MEDIUM_51_200,San Francisco CA
The Frye Company,Main,Contact,Media Director,https://www.thefryecompany.com,FASHION_BEAUTY,LARGE_201_1000,New York NY
Thumbtack,Main,Contact,Media Director,https://www.thumbtack.com,TECHNOLOGY,ENTERPRISE_1001_5000,San Francisco CA
Tonal,Main,Contact,Media Director,https://www.tonal.com,SPORTS_FITNESS,MEDIUM_51_200,San Francisco CA
True Nutrition,Main,Contact,Media Director,https://www.truenutrition.com,HEALTHCARE_PHARMA,SMALL_11_50,Vista CA
Unilever,Main,Contact,Media Director,https://www.unilever.com,CPG_PERSONAL_CARE,MEGA_5000_PLUS,London
