companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
WPP,Holding,Company,CEO,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,London
GroupM,Agency,Contact,Managing Director,https://www.groupm.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
GroupM Madrid,Agency,Contact,Managing Director,https://www.groupm.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Madrid
GroupM Mexico,Agency,Contact,Managing Director,https://www.groupm.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Mexico City
GroupM Montreal,Agency,Contact,Managing Director,https://www.groupm.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Montreal
Groupm Nexus Montreal,Agency,Contact,Managing Director,https://www.groupm.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Montreal
GroupM SF,Agency,Contact,Managing Director,https://www.groupm.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,San Francisco CA
GroupM Sydney,Agency,Contact,Managing Director,https://www.groupm.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Sydney
GroupM Vienna,Agency,Contact,Managing Director,https://www.groupm.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Vienna
L'Atelier Singapore,Agency,Contact,Managing Director,https://www.groupm.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Singapore
L'Atelier Sydney,Agency,Contact,Managing Director,https://www.groupm.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Sydney
WPP Media,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
WPP Media Atlanta,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Atlanta GA
WPP Media Bogota,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Bogota
WPP Media Chicago,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Chicago IL
WPP Media Denver,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Denver CO
WPP Media Detroit,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Detroit MI
WPP Media LA,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Los Angeles CA
WPP Media London,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,London
WPP Media Miami,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Miami FL
WPP Media Montreal,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Montreal
WPP Media NY,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
WPP Media Toronto,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Toronto
Mindshare,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,London
Mindshare Atlanta,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Atlanta GA
Mindshare Bangkok,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Bangkok
Mindshare Brussels,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Brussels
Mindshare Chicago,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Chicago IL
Mindshare Dallas,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Dallas TX
Mindshare Detroit,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Detroit MI
Mindshare Dubai,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Dubai
Mindshare Dublin,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Dublin
Mindshare Frankfurt,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Frankfurt
Mindshare LA,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Los Angeles CA
Mindshare London,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,London
Mindshare Melbourne,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Melbourne
Mindshare Mexico City,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Mexico City
Mindshare Miami,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Miami FL
Mindshare Montreal,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Montreal
Mindshare NY,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
Mindshare Portland,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Portland OR
Mindshare Qatar,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Doha
Mindshare Riyadh,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Riyadh
Mindshare San Juan,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,San Juan
Mindshare SF,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,San Francisco CA
Mindshare Singapore,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Singapore
Mindshare St. Louis,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,St. Louis MO
Mindshare Sydney,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Sydney
Mindshare Tokyo,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Tokyo
Mindshare Toronto,Agency,Contact,Managing Director,https://www.mindshareworld.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Toronto
Neo Media World Bend,Agency,Contact,Managing Director,https://www.neomediaworld.com,ENTERTAINMENT_MEDIA,LARGE_201_1000,Bend OR
Neo Media World London,Agency,Contact,Managing Director,https://www.neomediaworld.com,ENTERTAINMENT_MEDIA,LARGE_201_1000,London
Neo Media World Mexico City,Agency,Contact,Managing Director,https://www.neomediaworld.com,ENTERTAINMENT_MEDIA,LARGE_201_1000,Mexico City
Neo Media World Paris,Agency,Contact,Managing Director,https://www.neomediaworld.com,ENTERTAINMENT_MEDIA,LARGE_201_1000,Paris
Neo Media World Sydney,Agency,Contact,Managing Director,https://www.neomediaworld.com,ENTERTAINMENT_MEDIA,LARGE_201_1000,Sydney
Wavemaker,Agency,Contact,Managing Director,https://www.wavemaker.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
KR Wavemaker,Agency,Contact,Managing Director,https://www.wavemaker.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Seoul
Wavemaker Amsterdam,Agency,Contact,Managing Director,https://www.wavemaker.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Amsterdam
Wavemaker Atlanta,Agency,Contact,Managing Director,https://www.wavemaker.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Atlanta GA
