companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
WPP Media LA,Agency,Contact,Managing Director,https://www.wpp.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Los Angeles CA
Abbott Labs,Main,Contact,Media Director,https://www.abbott.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Chicago IL
Adidas,Main,Contact,Media Director,https://www.adidas.com,FASHION_BEAUTY,MEGA_5000_PLUS,Herzogenaurach
Adobe Systems Inc.,Main,Contact,Media Director,https://www.adobe.com,TECHNOLOGY,MEGA_5000_PLUS,San Jose CA
Airbnb,Main,Contact,Media Director,https://www.airbnb.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,San Francisco CA
Arco,Main,Contact,Media Director,https://www.arco.com,AUTOMOTIVE,MEGA_5000_PLUS,Los Angeles CA
Audible,Main,Contact,Media Director,https://www.audible.com,ENTERTAINMENT_MEDIA,ENTERPRISE_1001_5000,Newark NJ
BP,Main,Contact,Media Director,https://www.bp.com,AUTOMOTIVE,MEGA_5000_PLUS,London
Chevron,Main,Contact,Media Director,https://www.chevron.com,AUTOMOTIVE,MEGA_5000_PLUS,San Ramon CA
Danone,Main,Contact,Media Director,https://www.danone.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Paris
Denny's,Main,Contact,Media Director,https://www.dennys.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Spartanburg SC
Discover Financial,Main,Contact,Media Director,https://www.discover.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Riverwoods IL
Domino's Pizza,Main,Contact,Media Director,https://www.dominos.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Ann Arbor MI
DoorDash,Main,Contact,Media Director,https://www.doordash.com,TECHNOLOGY,MEGA_5000_PLUS,San Francisco CA
Ford,Main,Contact,Media Director,https://www.ford.com,AUTOMOTIVE,MEGA_5000_PLUS,Dearborn MI
Foundation to Combat Antisemitism,Main,Contact,Media Director,https://www.fcas.org,EDUCATION,MEDIUM_51_200,New York NY
G-Star,Main,Contact,Media Director,https://www.g-star.com,FASHION_BEAUTY,ENTERPRISE_1001_5000,Amsterdam
GoodRX,Main,Contact,Media Director,https://www.goodrx.com,HEALTHCARE_PHARMA,ENTERPRISE_1001_5000,Santa Monica CA
Google,Main,Contact,Media Director,https://www.google.com,TECHNOLOGY,MEGA_5000_PLUS,Mountain View CA
Harley-Davidson,Main,Contact,Media Director,https://www.harley-davidson.com,AUTOMOTIVE,MEGA_5000_PLUS,Milwaukee WI
Mazda,Main,Contact,Media Director,https://www.mazda.com,AUTOMOTIVE,MEGA_5000_PLUS,Hiroshima
NBCUniversal,Main,Contact,Media Director,https://www.nbcuniversal.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
Priceline Group,Main,Contact,Media Director,https://www.priceline.com,TRAVEL_HOSPITALITY,MEGA_5000_PLUS,Norwalk CT
PVH Corporation,Main,Contact,Media Director,https://www.pvh.com,FASHION_BEAUTY,MEGA_5000_PLUS,New York NY
Qualcomm,Main,Contact,Media Director,https://www.qualcomm.com,TECHNOLOGY,MEGA_5000_PLUS,San Diego CA
Sony Corporation,Main,Contact,Media Director,https://www.sony.com,TECHNOLOGY,MEGA_5000_PLUS,Tokyo
Target,Main,Contact,Media Director,https://www.target.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Minneapolis MN
TJX Companies,Main,Contact,Media Director,https://www.tjx.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Framingham MA
Tyson Foods,Main,Contact,Media Director,https://www.tysonfoods.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Springdale AR
Tyson Ranch,Main,Contact,Media Director,https://www.tysonranch.com,CPG_FOOD_BEVERAGE,SMALL_11_50,Los Angeles CA
YouTube,Main,Contact,Media Director,https://www.youtube.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,San Bruno CA
Zendesk,Main,Contact,Media Director,https://www.zendesk.com,TECHNOLOGY,MEGA_5000_PLUS,San Francisco CA
