companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Xaxis LA,Agency,Contact,Managing Director,https://www.xaxis.com,ENTERTAINMENT_MEDIA,ENTERPRISE_1001_5000,Los Angeles CA
AARP,Main,Contact,Media Director,https://www.aarp.org,HEALTHCARE_PHARMA,LARGE_201_1000,Washington DC
Citizens Financial Group,Main,Contact,Media Director,https://www.citizensbank.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,Providence RI
IKEA,Main,Contact,Media Director,https://www.ikea.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Delft
Mazda,Main,Contact,Media Director,https://www.mazda.com,AUTOMOTIVE,MEGA_5000_PLUS,Hiroshima
Novo Nordisk,Main,Contact,Media Director,https://www.novonordisk.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Bagsvaerd
Otsuka Pharmaceutical,Main,Contact,Media Director,https://www.otsuka.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Tokyo
Qualcomm,Main,Contact,Media Director,https://www.qualcomm.com,TECHNOLOGY,MEGA_5000_PLUS,San Diego CA
Volvo,Main,Contact,Media Director,https://www.volvo.com,AUTOMOTIVE,MEGA_5000_PLUS,Gothenburg
Zespri North America,Main,Contact,Media Director,https://www.zespri.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Mt Maunganui
