companyName,firstName,lastName,title,website,industry,employeeCount,headquarters
Zenith NY,Agency,Contact,Managing Director,https://www.zenithmedia.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,New York NY
Altice,Main,Contact,Media Director,https://www.alticeusa.com,TELECOM,MEGA_5000_PLUS,New York NY
Arby's,Main,Contact,Media Director,https://www.arbys.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Autism Speaks,Main,Contact,Media Director,https://www.autismspeaks.org,EDUCATION,LARGE_201_1000,New York NY
Barilla,Main,Contact,Media Director,https://www.barilla.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Parma
Baskin Robbins,Main,Contact,Media Director,https://www.baskinrobbins.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Canton MA
Bath & Body Works,Main,Contact,Media Director,https://www.bathandbodyworks.com,FASHION_BEAUTY,MEGA_5000_PLUS,Columbus OH
Buffalo Wild Wings,Main,Contact,Media Director,https://www.buffalowildwings.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Burberry,Main,Contact,Media Director,https://www.burberry.com,FASHION_BEAUTY,MEGA_5000_PLUS,London
ByteDance.com,Main,Contact,Media Director,https://www.bytedance.com,TECHNOLOGY,MEGA_5000_PLUS,Beijing
Coca-Cola,Main,Contact,Media Director,https://www.coca-cola.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Coty,Main,Contact,Media Director,https://www.coty.com,FASHION_BEAUTY,MEGA_5000_PLUS,New York NY
Dick's Sporting Goods,Main,Contact,Media Director,https://www.dickssportinggoods.com,RETAIL_ECOMMERCE,MEGA_5000_PLUS,Coraopolis PA
Disney,Main,Contact,Media Director,https://www.disney.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Burbank CA
Dunkin' Brands,Main,Contact,Media Director,https://www.dunkinbrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Canton MA
Edible Brands,Main,Contact,Media Director,https://www.ediblearrangements.com,CPG_FOOD_BEVERAGE,LARGE_201_1000,Atlanta GA
Edrington,Main,Contact,Media Director,https://www.edrington.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Glasgow
Eli Lilly,Main,Contact,Media Director,https://www.lilly.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Indianapolis IN
EssilorLuxottica,Main,Contact,Media Director,https://www.essilorluxottica.com,FASHION_BEAUTY,MEGA_5000_PLUS,Paris
H&M,Main,Contact,Media Director,https://www.hm.com,FASHION_BEAUTY,MEGA_5000_PLUS,Stockholm
Haleon,Main,Contact,Media Director,https://www.haleon.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,London
HCA Healthcare,Main,Contact,Media Director,https://www.hcahealthcare.com,HEALTHCARE_PHARMA,MEGA_5000_PLUS,Nashville TN
Hostess Brands,Main,Contact,Media Director,https://www.hostessbrands.com,CPG_FOOD_BEVERAGE,ENTERPRISE_1001_5000,Lenexa KS
Hulu,Main,Contact,Media Director,https://www.hulu.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Santa Monica CA
Inspire Brands,Main,Contact,Media Director,https://www.inspirebrands.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Jimmy John's,Main,Contact,Media Director,https://www.jimmyjohns.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Atlanta GA
Kering,Main,Contact,Media Director,https://www.kering.com,FASHION_BEAUTY,MEGA_5000_PLUS,Paris
Lactalis,Main,Contact,Media Director,https://www.lactalis.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Laval
Lexus,Main,Contact,Media Director,https://www.lexus.com,AUTOMOTIVE,MEGA_5000_PLUS,Toyota City
Lindt & Sprungli,Main,Contact,Media Director,https://www.lindt.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,Zurich
LVMH,Main,Contact,Media Director,https://www.lvmh.com,FASHION_BEAUTY,MEGA_5000_PLUS,Paris
Mars,Main,Contact,Media Director,https://www.mars.com,CPG_FOOD_BEVERAGE,MEGA_5000_PLUS,McLean VA
Paypal,Main,Contact,Media Director,https://www.paypal.com,FINANCIAL_SERVICES,MEGA_5000_PLUS,San Jose CA
PENN Entertainment,Main,Contact,Media Director,https://www.pennentertainment.com,ENTERTAINMENT_MEDIA,MEGA_5000_PLUS,Wyomissing PA
PVH Corporation,Main,Contact,Media Director,https://www.pvh.com,FASHION_BEAUTY,MEGA_5000_PLUS,New York NY
Ralph Lauren,Main,Contact,Media Director,https://www.ralphlauren.com,FASHION_BEAUTY,MEGA_5000_PLUS,New York NY
